2017-11-01,2017-11-17,2017-12-03,2017-12-19,2018-01-01,2018-01-17,2018-02-02,2018-02-18,2018-03-06,2018-03-22,desvio,amplitude,lat,long
0.2517,0.268,0.2656,0.1925,0.2628,0.2464,0.2883,0.6491,0.4977,0.8718,0.22245444202752568,0.6793,-3.5287253247306074,-42.7605771860746
0.6926,0.7541,0.7434,0.831,0.831,0.7062,0.706,0.8164,0.1553,0.841,0.20242878583179155,0.6857,-2.7498718691421637,-41.83647988396789
0.4892,0.2349,0.6916,0.6189,0.207,0.3207,0.1222,0.4813,0.4914,0.7679,0.21631145472314786,0.6457,-2.7271567505698373,-41.97162938713238
0.2576,0.2329,0.2073,0.3096,0.3344,0.2841,0.3898,0.8207,0.7648,0.6062,0.22598680492453535,0.6134,-3.4980029420137204,-42.76596707777932
0.6434,0.6786,0.7219,0.2426,0.0568,0.7829,0.8123,0.2969,0.4813,0.8084,0.2689656502232209,0.7555000000000001,-2.853350737744321,-42.26079892375528
0.0725,0.5875,0.4817,0.2106,0.6528,0.3044,0.3405,0.5859,0.7443,0.6046,0.21661808583567327,0.6718,-2.768708281595029,-42.13777409159565
0.6523,0.7056,0.6911,0.5536,0.3014,0.7497,0.5658,0.0692,0.6927,0.6858,0.21697631616786608,0.6805,-2.7584322267140187,-42.16809130910229
0.4592,0.4965,0.4854,0.0799,0.5153,0.5213,0.6224,0.7982,0.7599,0.7992,0.21374085061640002,0.7193,-3.2775281627771484,-42.16607139237839
0.3344,0.253,0.2897,0.4015,0.5331,0.4171,0.5492,0.7702,0.7444,0.885,0.21872346416829122,0.632,-3.498471409900091,-42.69077624183372
0.6294,0.6842,0.6588,0.6948,0.8636,0.6154,0.0897,0.7162,0.3501,0.7534,0.22353263843216373,0.7739,-2.771445540217853,-41.987127726447696
0.2994,0.2266,0.1984,0.2869,0.4621,0.4848,0.1589,0.619,0.6234,0.881,0.2324373953944971,0.7221,-3.5745182478354742,-42.72432961036096
0.4697,0.4504,0.4306,0.4057,0.3459,0.6505,0.7731,0.9312,0.7331,0.8988,0.2157122981092074,0.5853,-3.3686032283300467,-42.411580590195264
0.2128,0.2015,0.2059,0.2022,0.0957,0.243,0.3987,0.37,0.8341,0.872,0.2723080055541682,0.7763,-3.3341149735482687,-42.25891209232565
0.6223,0.5821,0.6603,0.1437,0.6524,0.6017,0.0834,0.0743,0.4485,0.4846,0.2412365139581209,0.586,-2.8036932127768206,-42.11446151730739
0.707,0.6803,0.7597,0.1347,0.4402,0.7583,0.7215,0.4234,0.5563,0.7343,0.2043106406648682,0.625,-2.8221034701137824,-42.11284676579375
0.5324,0.5718,0.4406,0.1642,0.7145,0.7678,0.7903,0.8235,0.6766,0.7212,0.2012650516110534,0.6593,-3.613843300894677,-42.62124737750878
0.6848,0.7124,0.7379,0.1784,0.5502,0.7416,0.6486,0.3481,0.2161,0.7529,0.22541011019423637,0.5745,-2.829614057858333,-42.083336185377995
0.393,0.4072,0.3958,0.3673,0.0698,0.5617,0.6316,0.8371,0.7386,0.9023,0.2533927526807172,0.8325,-3.1481425533502985,-41.94077318045529
0.5143,0.5208,0.4658,0.0866,0.3307,0.5611,0.785,0.7042,0.4901,0.6873,0.20029846868000653,0.6984,-3.311512689030508,-42.10247140892864
0.2491,0.1986,0.2205,0.1447,0.3621,0.2721,0.1572,0.7094,0.5151,0.853,0.24529755536219,0.7082999999999999,-3.507088184499227,-42.758284450768826
0.2192,0.1983,0.1952,0.055,0.6195,0.3889,0.3729,0.608,0.6692,0.9128,0.2700538670545399,0.8577999999999999,-3.5840931145925783,-42.72567375929049
0.5459,0.0102,0.3931,0.5389,0.6084,0.3822,0.0362,0.6179,0.751,0.7537,0.2632729857011539,0.7435,-2.60482031312958,-42.68605990192562
0.3756,0.378,0.378,0.3252,0.134,0.4193,0.4816,0.6936,0.7118,0.9173,0.22843433386618767,0.7833,-3.3318461828118178,-42.28531960701508
0.579,0.5282,0.6907,0.1175,0.1175,0.5272,0.4898,0.7241,0.7221,0.747,0.2336920026682794,0.6295,-2.7567658943037303,-42.411039385027046
0.2272,0.2311,0.2542,0.1493,0.1936,0.2565,0.3537,0.524,0.7086,0.8956,0.24940140692822438,0.7463,-3.340505270181416,-42.25338542199701
0.2267,0.1574,0.1814,0.2454,0.2809,0.2458,0.2264,0.7354,0.6759,0.6217,0.22365602061101678,0.5780000000000001,-3.482224161373427,-42.75747412034829
0.2962,0.3337,0.3676,0.2645,0.2707,0.6888,0.7534,0.8368,0.5919,0.6,0.217688407285888,0.5723,-3.344299350759949,-42.13063119242153
0.2791,0.2705,0.3052,0.3807,0.7551,0.757,0.4502,0.3206,0.6418,0.8308,0.22334919844146395,0.5603,-3.481692224331364,-42.59995471994442
0.2852,0.3037,0.2975,0.2134,0.3604,0.7816,0.7981,0.7311,0.7888,0.6758,0.24891685894423995,0.5847,-3.3847376428021496,-42.15569455818145
0.4616,0.5095,0.3648,0.3181,0.6238,0.8407,0.8385,0.8789,0.8195,0.8425,0.2204787490389443,0.5608,-3.4455940541665795,-42.301085594250814
0.2013,0.2438,0.2102,0.3244,0.2989,0.4802,0.4935,0.7497,0.7301,0.8609,0.24484349649884063,0.6596,-3.5041590047036824,-42.68511759420967
0.1929,0.1505,0.148,0.2188,0.6242,0.6414,0.4813,0.4258,0.5516,0.7571,0.22708905350593678,0.6091,-3.4971662497443727,-42.63202753025117
0.2437,0.2495,0.2049,0.2467,0.2467,0.6071,0.486,0.6591,0.5648,0.818,0.22130616424612606,0.6131,-3.5672418940341064,-42.72837202913948
0.2661,0.3174,0.3083,0.4649,0.4623,0.4226,0.3697,0.4322,0.7729,0.8754,0.2002555855789185,0.6093,-3.683103409300292,-42.9896464755262
0.3742,0.4544,0.381,0.4735,0.4688,0.3262,0.7367,0.7615,0.7456,0.8902,0.20096047953100962,0.5640000000000001,-3.4680114696400284,-42.627579576929435
0.2169,0.2054,0.1959,0.252,0.3152,0.3284,0.6903,0.3992,0.6761,0.8627,0.24033568399220287,0.6668000000000001,-3.772029570299716,-42.87228139898951
0.2096,0.1751,0.1828,0.2315,0.2105,0.2488,0.4308,0.7129,0.6794,0.7689,0.24311349909958607,0.5938,-3.4804293769461077,-42.761923181668955
0.2007,0.2085,0.2257,0.2205,0.3633,0.4973,0.317,0.3576,0.4806,0.8817,0.20841193957054274,0.681,-3.6130489213957895,-42.899366158805144
