2017-11-01,2017-11-17,2017-12-03,2017-12-19,2018-01-01,2018-01-17,2018-02-02,2018-02-18,2018-03-06,2018-03-22,desvio,amplitude,lat,long
0.6434,0.6786,0.7219,0.2426,0.0568,0.7829,0.8123,0.2969,0.4813,0.8084,0.2689656502232209,0.7555000000000001,-2.853350737744321,-42.26079892375528
0.2128,0.2015,0.2059,0.2022,0.0957,0.243,0.3987,0.37,0.8341,0.872,0.2723080055541682,0.7763,-3.3341149735482687,-42.25891209232565
0.2192,0.1983,0.1952,0.055,0.6195,0.3889,0.3729,0.608,0.6692,0.9128,0.2700538670545399,0.8577999999999999,-3.5840931145925783,-42.72567375929049
0.5459,0.0102,0.3931,0.5389,0.6084,0.3822,0.0362,0.6179,0.751,0.7537,0.2632729857011539,0.7435,-2.60482031312958,-42.68605990192562
0.2864,0.2739,0.408,0.4649,0.3522,0.8277,0.849,0.9509,0.9081,0.708,0.2717619564986976,0.677,-4.722232217199291,-43.13651991648086
0.5239,0.0467,0.6442,0.0738,0.1541,0.6878,0.6509,0.8244,0.6214,0.8262,0.3004206761637199,0.7795000000000001,-3.611886317513922,-42.62663542254866
0.2533,0.2302,0.2744,0.2756,0.4094,0.3674,0.6901,0.8503,0.7515,0.9004,0.2673147549654194,0.6702,-5.533410918759222,-43.41921973639326
0.3855,0.7218,0.7262,0.6686,0.376,0.8372,0.1674,0.849,0.1098,0.7825,0.27819381333483634,0.7392,-6.675344101944468,-43.22302989433936
0.5128,0.8077,0.7855,0.776,0.8523,0.8391,0.2451,0.1432,0.2909,0.665,0.272979967518986,0.7091,-6.659153270445085,-43.28218340179917
0.4724,0.6926,0.7537,0.8082,0.0697,0.8016,0.2667,0.8033,0.8616,0.8072,0.2720533811997605,0.7919,-6.4424443632734025,-43.000964878773146
0.1171,0.6661,0.7214,0.8967,0.233,0.3673,0.489,0.8225,0.3607,0.7819,0.269097640478528,0.7796000000000001,-6.718924651340168,-43.604497448409404
0.433,0.6736,0.6447,0.0477,0.6024,0.7249,0.1091,0.1718,0.6593,0.7253,0.26946964702293774,0.6776,-7.823079227693522,-43.677666151633375
0.1518,0.2031,0.2223,0.2266,0.2266,0.3245,0.5259,0.6502,0.8043,0.8201,0.26114362672249497,0.6683000000000001,-12.179381624618628,-44.13701764083658
0.2578,0.2168,0.2361,0.2765,0.3503,0.4094,0.7491,0.8466,0.8729,0.8108,0.2802461697627046,0.6561,-11.891071783315125,-43.84286559371697
