2017-11-01,2017-11-17,2017-12-03,2017-12-19,2018-01-01,2018-01-17,2018-02-02,2018-02-18,2018-03-06,2018-03-22,desvio,amplitude,lat,long
0.2517,0.268,0.2656,0.1925,0.2628,0.2464,0.2883,0.6491,0.4977,0.8718,0.22245444202752568,0.6793,-3.5287253247306074,-42.7605771860746
0.642,0.6837,0.6988,0.3838,0.6806,0.7199,0.5945,0.6772,0.139,0.7156,0.1878531308703099,0.5809,-2.7946220745481347,-42.11379018150855
0.7339,0.7761,0.9881,0.7989,0.8211,0.7044,0.5801,0.3865,0.8007,0.7726,0.15963289273969963,0.6015999999999999,-2.730971987533601,-41.95195739040906
0.6052,0.5935,0.4993,0.4703,0.1408,0.693,0.5102,0.4497,0.5371,0.6755,0.1558944742802358,0.5521999999999999,-2.7644104724880783,-42.27009630227943
0.5455,0.5043,0.4696,0.1672,0.2872,0.5613,0.3138,0.5565,0.2501,0.674,0.1661465032901853,0.5068,-2.743942988266974,-42.82175208759018
0.6296,0.675,0.6599,0.4108,0.6584,0.569,0.6043,0.1226,0.6529,0.6607,0.17382586944666462,0.5524,-2.760665756808418,-42.15744830431677
0.6771,0.7597,0.7108,0.2574,0.8328,0.7759,0.5072,0.7912,0.75,0.4831,0.18191791066913182,0.5753999999999999,-2.802167922934739,-41.97041906216306
0.5016,0.4914,0.5266,0.5634,0.1339,0.6285,0.6587,0.6847,0.6923,0.8201,0.18406521670321094,0.6862,-2.802167922934739,-42.744407510960436
0.6926,0.7541,0.7434,0.831,0.831,0.7062,0.706,0.8164,0.1553,0.841,0.20242878583179155,0.6857,-2.7498718691421637,-41.83647988396789
0.4493,0.5217,0.6027,0.2184,0.5357,0.5123,0.7589,0.5371,0.4913,0.7353,0.15092502958606815,0.5405,-2.7649494616585493,-42.48892590549093
0.6159,0.4942,0.7155,0.3881,0.5847,0.662,0.113,0.4901,0.609,0.3619,0.17843382962755566,0.6025,-2.819919304918256,-42.08427960109282
0.3582,0.3158,0.3358,0.3853,0.4259,0.4172,0.3172,0.7255,0.6818,0.7015,0.1677116162411603,0.4097,-3.48827998056,-42.76205885229396
0.4892,0.2349,0.6916,0.6189,0.207,0.3207,0.1222,0.4813,0.4914,0.7679,0.21631145472314786,0.6457,-2.7271567505698373,-41.97162938713238
0.722,0.7403,0.7926,0.7643,0.713,0.7302,0.4269,0.8542,0.4309,0.8437,0.15176420636412702,0.42729999999999996,-2.750928691097876,-41.849819311937615
0.7719,0.7572,0.7756,0.7394,0.5003,0.7845,0.1928,0.6151,0.6445,0.8446,0.19355840031714802,0.6518,-2.8145153089567168,-42.07484692127661
0.3699,0.4752,0.4676,0.5399,0.8388,0.374,0.923,0.5637,0.5119,0.5513,0.18219185278771996,0.5531,-2.734255287455303,-42.093308593030635
0.7579,0.7323,0.7637,0.6635,0.6635,0.821,0.5227,0.2566,0.9825,0.8567,0.19947633220788655,0.7259,-2.7816792823284042,-42.095599112338654
0.2576,0.2329,0.2073,0.3096,0.3344,0.2841,0.3898,0.8207,0.7648,0.6062,0.22598680492453535,0.6134,-3.4980029420137204,-42.76596707777932
0.6434,0.6786,0.7219,0.2426,0.0568,0.7829,0.8123,0.2969,0.4813,0.8084,0.2689656502232209,0.7555000000000001,-2.853350737744321,-42.26079892375528
