2017-11-01,2017-11-17,2017-12-03,2017-12-19,2018-01-01,2018-01-17,2018-02-02,2018-02-18,2018-03-06,2018-03-22,desvio,lat,long
0.1639,0.1282,0.2261,0.4338,0.7677,0.8431,0.8485,0.4349,0.2705,0.3261,0.2783957087791884,-7.859872750855322,-46.7398633653326
0.3711,0.2644,0.2383,0.3772,0.6205,0.7288,0.6192,0.3122,0.2354,0.2093,0.18908564314734327,-7.881527941167617,-46.750563028949394
0.154,0.2028,0.1588,0.3471,0.9551,0.964,0.7712,0.5345,0.1625,0.2536,0.3324938268432797,-8.176941281467185,-46.394496079595
0.1673,0.4101,0.1587,0.2596,0.327,0.4197,0.7825,0.5247,0.4334,0.377,0.18240587831658397,-7.8600474249949155,-46.82650073164909
0.3556,0.165,0.2414,0.3827,0.448,0.683,0.61,0.2701,0.3786,0.4056,0.15851601391236997,-7.872821504144945,-46.75691909246831
0.1483,0.1851,0.1432,0.5023,0.9656,0.9235,0.7784,0.5933,0.4783,0.2438,0.31596007061371256,-7.882685991840465,-45.85458787953374
0.1491,0.1975,0.438,0.721,0.917,0.9445,0.3398,0.1586,0.1341,0.1389,0.3284757905843291,-7.840179233159777,-46.50040052961857
0.1768,0.2422,0.3078,0.5314,0.5835,0.6486,0.8255,0.5541,0.3509,0.3293,0.20491338251401087,-8.560679871434761,-46.189403198854606
0.23,0.153,0.2031,0.4344,0.7916,0.8706,0.5883,0.6995,0.1597,0.3286,0.27317603929416,-8.381125746539148,-46.757498181780385
0.1375,0.214,0.3176,0.7281,0.8867,0.9119,0.7399,0.2209,0.2118,0.1593,0.3214512129909193,-7.999730607872803,-46.76466920024004
0.1625,0.3056,0.3302,0.6161,0.5028,0.6005,0.5018,0.2003,0.1801,0.1837,0.1812619602184149,-7.952734080513936,-46.58039832480753
0.1572,0.213,0.509,0.3077,0.8384,0.7869,0.1135,0.1381,0.3453,0.5175,0.2631308808263379,-8.550540079205298,-46.8393307760135
0.2283,0.1458,0.282,0.3845,0.6033,0.8024,0.749,0.7198,0.2588,0.1966,0.2545528639704444,-7.992617194343609,-46.77892404878993
0.2648,0.2496,0.2504,0.574,0.737,0.4828,0.2659,0.4535,0.379,0.3975,0.1615808999301038,-8.047593193613459,-46.10918996408206
0.3137,0.2479,0.4098,0.4415,0.686,0.6326,0.7943,0.6163,0.3622,0.3711,0.18141078737985175,-7.871676229838121,-46.4923518171189
0.2957,0.1746,0.3355,0.51,0.7208,0.708,0.4557,0.4389,0.2047,0.2054,0.19891495698189995,-8.02915256894454,-46.10587342015015
0.2032,0.1929,0.3212,0.5628,0.8214,0.7648,0.6463,0.1683,0.2157,0.2951,0.25399805795408054,-7.9855855320340945,-46.77413188088534
0.2642,0.4431,0.3177,0.4023,0.6718,0.5586,0.7104,0.6435,0.5377,0.3718,0.15515635447294232,-7.862450438722313,-46.4929989610445
0.2191,0.1278,0.1358,0.3538,0.9193,0.7288,0.8662,0.4541,0.3089,0.1705,0.3036247173732732,-8.06871416239542,-46.12449236471221
0.1876,0.1821,0.2225,0.6113,0.8481,0.9169,0.328,0.4686,0.2196,0.1848,0.28335283560332414,-8.021547684728466,-46.10884705022146
0.0897,0.1827,0.8308,0.8894,0.8571,0.8744,0.3379,0.1997,0.2157,0.7079,0.3390925702846086,-8.253038565801535,-46.771630625486814
0.1616,0.1914,0.3002,0.8581,0.4966,0.8831,0.5705,0.1475,0.1989,0.4274,0.2771608439957644,-7.814281164601217,-46.292473846704134
0.1337,0.1698,0.4261,0.6276,0.7152,0.7916,0.27,0.2054,0.2927,0.3127,0.23633576303405476,-8.56400514437985,-46.859423102223474
0.6117,0.6248,0.4889,0.0917,0.3956,0.2583,0.4573,0.3032,0.6312,0.2271,0.18666584999821353,-4.819077239079212,-47.575249446872284
0.5119,0.5357,0.7945,0.8393,0.8194,0.6745,0.6662,0.6974,0.7717,0.3123,0.16599812214466633,-6.486614925195787,-47.43815360988863
0.2274,0.1723,0.1338,0.4283,0.6715,0.6167,0.517,0.8346,0.8793,0.7576,0.2750266057836748,-4.876359460052177,-47.33230568121671
0.2725,0.2019,0.2075,0.3752,0.4698,0.3872,0.2446,0.2909,0.7157,0.7046,0.1900333447348415,-4.869305742196932,-47.48461524143862
0.5867,0.513,0.5286,0.542,0.6852,0.187,0.7639,0.642,0.3683,0.2961,0.17950265117200298,-5.035530598483037,-47.55147950371104
0.2021,0.1575,0.1937,0.3579,0.421,0.6103,0.5685,0.5236,0.2754,0.5687,0.1742133242129698,-4.8703536943009835,-47.343774812919676
0.3154,0.2891,0.2929,0.1685,0.1689,0.1505,0.5523,0.3866,0.5073,0.6127,0.16647127079469298,-4.886765335210088,-47.59956343619
0.1984,0.1412,0.1662,0.3701,0.3441,0.1862,0.3266,0.5116,0.8004,0.6106,0.21670548985508728,-5.022197946624272,-47.631589348316105
0.1944,0.1579,0.2347,0.5902,0.5902,0.9761,0.9152,0.677,0.5449,0.1913,0.3026303078381645,-14.09149506726289,-43.67992994779374
0.1321,0.1649,0.3159,0.4262,0.9212,0.9224,0.9861,0.6381,0.4837,0.1747,0.3335884125685423,-14.189663778014948,-45.42987874721488
0.3685,0.5924,0.5282,0.8032,0.5976,0.4652,0.2508,0.1994,0.1812,0.1659,0.21683761563795975,-14.25096365562604,-45.431106978957864
0.3759,0.6171,0.8394,0.8947,0.7543,0.4283,0.2441,0.2789,0.2132,0.3261,0.2574857320750457,-14.285108553859693,-45.448555694529226
0.1025,0.2707,0.5133,0.8317,0.8774,0.8003,0.2107,0.1183,0.1093,0.1007,0.33022381787037847,-14.609514145402287,-45.98008725903271
0.5368,0.6245,0.7509,0.7472,0.4556,0.4291,0.0806,0.0983,0.1072,0.1102,0.27469806131257807,-14.602031124456019,-45.95331743149122
0.7763,0.5375,0.2882,0.2016,0.276,0.1887,0.8002,0.8665,0.8505,0.8672,0.2978180057611621,-13.813239793968027,-46.10155718409153
0.3967,0.4987,0.7508,0.5634,0.418,0.3475,0.1194,0.1178,0.0978,0.1449,0.22302580319077184,-14.785527782449845,-45.5790523845651
0.8272,0.5752,0.6106,0.611,0.357,0.2984,0.2883,0.5394,0.8831,0.7684,0.2123900562644118,-13.71736877093492,-45.93576232671438
0.1816,0.52,0.4515,0.9397,0.982,0.879,0.63,0.1812,0.0985,0.1123,0.3501460514318751,-14.788741367286615,-45.595229317602005
0.1518,0.1894,0.4698,0.7201,0.6217,0.5195,0.4755,0.2471,0.1651,0.1722,0.21231544037639422,-14.262903008430392,-45.42862663978254
0.0796,0.1314,0.2108,0.1945,0.1983,0.1721,0.582,0.8575,0.8424,0.8279,0.3275778965884807,-14.84803681243551,-45.52651714116164
0.0911,0.1352,0.2831,0.3543,0.8253,0.8936,0.9268,0.9154,0.8751,0.4561,0.34471927709369543,-14.278115961100418,-45.41558317518445
0.1465,0.1471,0.1958,0.3532,0.7197,0.8142,0.9614,0.9516,0.7382,0.7246,0.32964621793674503,-14.791028609492486,-45.54784476590295
0.2375,0.2683,0.8248,0.7046,0.7961,0.7778,0.3042,0.1986,0.2428,0.2221,0.27677616628283264,-14.381482656281571,-45.53918100105341
0.7789,0.7315,0.6041,0.5116,0.4673,0.3646,0.2055,0.2116,0.2336,0.3195,0.21147886051434184,-14.351621708265329,-45.54982089908185
0.3723,0.5299,0.1937,0.1509,0.1445,0.1582,0.2642,0.5091,0.6426,0.6582,0.20755134411620765,-14.286150850174145,-45.47066998543364
0.1805,0.1632,0.1625,0.2006,0.2553,0.2682,0.8243,0.9911,0.9564,0.7944,0.3605322030615912,-14.80404926450012,-45.54718048284863
0.307,0.5164,0.491,0.9835,0.9747,0.8808,0.1607,0.2047,0.207,0.3574,0.32481414446486845,-14.417208215098144,-45.57238441004472
0.8509,0.8244,0.5592,0.2209,0.1518,0.1666,0.3559,0.5361,0.4634,0.843,0.2755087649341769,-14.390089874539507,-45.570089151364506
0.1182,0.1478,0.2808,0.548,0.877,0.9117,0.8774,0.9144,0.8654,0.3898,0.3341707655608963,-14.266178195703054,-45.41722999633824
0.147,0.2276,0.5566,0.8256,0.8747,0.8303,0.2393,0.1884,0.2555,0.2533,0.2994483374102748,-14.32678936735745,-45.49440077732231
0.691,0.6168,0.5265,0.3173,0.1667,0.1325,0.1712,0.3905,0.2677,0.6051,0.20848748989914104,-14.30732019408366,-45.4644552698536
0.0875,0.1279,0.5497,0.708,0.9147,0.9355,0.8874,0.8769,0.757,0.2998,0.3305351492487431,-14.612293535084538,-45.963945439360344
0.0886,0.128,0.1274,0.3978,0.4532,0.4351,0.2706,0.3121,0.3615,0.6367,0.17290319063954063,-14.753605816151453,-45.54482441703105
0.1496,0.2122,0.1086,0.1058,0.1394,0.3065,0.4544,0.5985,0.3355,0.2284,0.1622071066397661,-14.766595277279473,-45.55726064435214
0.135,0.1872,0.1362,0.2457,0.4323,0.592,0.8259,0.6974,0.6776,0.6266,0.26122775694784045,-14.17664036984661,-45.43180026565317
0.1392,0.1736,0.2711,0.3765,0.8383,0.8018,0.667,0.775,0.6865,0.4903,0.2673890800147065,-14.294357204610279,-45.43438827476777
0.8326,0.7881,0.6001,0.2043,0.1108,0.187,0.4216,0.4356,0.737,0.8976,0.2906826411894747,-14.387403732525847,-45.55909098620801
0.1425,0.1451,0.1979,0.4595,0.7494,0.8286,0.7405,0.8531,0.6866,0.6364,0.2854748099414572,-14.776407430985303,-45.53707615418335
