2017-02-02,2017-02-18,2017-03-06,2017-03-22,2017-04-07,2017-04-23,2017-05-09,2017-05-25,2017-06-10,2017-06-26,2017-07-12,2017-07-28,2017-08-13,2017-08-29,2017-09-14,2017-09-30,2017-10-16,2017-11-01,2017-11-17,2017-12-03,2017-12-19,2018-01-01,2018-01-17,desvio,lat,long
-0.3,0.5517,-0.3,0.2709,0.4159,0.3643,0.5152,0.5649,0.4765,0.3523,0.2804,0.2418,0.2173,0.2071,0.1891,0.2044,0.1754,0.1639,0.1282,0.2261,0.4338,0.7677,0.8431,0.2690972151208012,-46.7398633653326,-7.859872750855322
0.4767,0.2248,0.1976,0.5573,0.6155,0.6307,0.4473,0.5363,0.3368,0.1791,0.1605,0.1689,0.1608,0.1455,0.1373,0.1501,0.144,0.154,0.2028,0.1588,0.3471,0.9551,0.964,0.25535350332446793,-46.394496079595,-8.176941281467185
0.8492,0.8509,0.2994,0.1854,0.172,0.4727,0.5869,0.6727,0.6016,0.3702,0.2093,0.2022,0.1943,0.1922,0.1897,0.1986,0.1991,0.1483,0.1851,0.1432,0.5023,0.9656,0.9235,0.2808128060039468,-45.85458787953374,-7.882685991840465
0.4846,0.2876,0.2492,0.4507,0.8476,0.7218,0.6632,0.6246,0.3754,0.1814,0.173,0.173,0.1591,0.171,0.1581,0.1721,0.1438,0.1491,0.1975,0.438,0.721,0.917,0.9445,0.2761053944669588,-46.50040052961857,-7.840179233159777
0.7101,0.817,0.4096,0.3596,0.2676,0.1614,0.3901,0.5548,0.4006,0.2772,0.1959,0.1811,0.1576,0.1718,0.1683,0.1778,0.139,0.23,0.153,0.2031,0.4344,0.7916,0.8706,0.23549461353490136,-46.757498181780385,-8.381125746539148
0.6384,0.5492,0.2429,0.2424,0.3231,0.424,0.6552,0.6785,0.3705,0.1701,0.1582,0.1362,0.16,0.1384,0.1329,0.1664,0.1382,0.1375,0.214,0.3176,0.7281,0.8867,0.9119,0.2590927174682054,-46.76466920024004,-7.999730607872803
0.7957,0.4436,0.1568,0.4316,0.3581,0.6934,0.591,0.5564,0.4648,0.1808,0.1533,0.1556,0.1656,0.1396,0.1436,0.158,0.1375,0.1572,0.213,0.509,0.3077,0.8384,0.7869,0.2424625763063053,-46.8393307760135,-8.550540079205298
0.785,0.5546,0.3759,0.2242,0.2894,0.4538,0.6421,0.5651,0.4117,0.1855,0.1843,0.1631,0.153,0.1618,0.176,0.1922,0.1566,0.2032,0.1929,0.3212,0.5628,0.8214,0.7648,0.22661941751592451,-46.77413188088534,-7.9855855320340945
0.7073,0.65,0.2377,0.0894,0.2,0.5354,0.4783,0.5008,0.4934,0.245,0.2108,0.2022,0.2184,0.2005,0.1894,0.1946,0.211,0.2191,0.1278,0.1358,0.3538,0.9193,0.7288,0.22922781417296165,-46.12449236471221,-8.06871416239542
0.7847,0.703,0.193,0.2638,0.4131,0.6353,0.7,0.5837,0.5054,0.2579,0.2118,0.2015,0.1687,0.1922,0.1824,0.1612,0.1507,0.1876,0.1821,0.2225,0.6113,0.8481,0.9169,0.2599200415968638,-46.10884705022146,-8.021547684728466
0.8022,0.2048,0.1604,-0.3,0.6626,0.6715,0.6901,0.5688,0.353,0.1942,0.1784,0.171,0.1786,0.1627,0.159,0.1976,0.1673,0.0897,0.1827,0.8308,0.8894,0.8571,0.8744,0.33077304281002456,-46.771630625486814,-8.253038565801535
0.1895,0.1606,0.469,0.8538,0.9085,0.6586,0.6759,0.5002,0.3011,0.1657,0.1819,0.1754,0.185,0.1576,0.1555,0.1796,0.1693,0.1616,0.1914,0.3002,0.8581,0.4966,0.8831,0.2791154580685318,-46.292473846704134,-7.814281164601217
0.2446,0.2024,0.2154,0.5609,0.5154,0.6267,0.4742,0.5207,0.4684,0.2462,0.1781,0.181,0.1796,0.1495,0.1553,0.126,0.1295,0.1337,0.1698,0.4261,0.6276,0.7152,0.7916,0.21567076806472513,-46.859423102223474,-8.56400514437985
0.2187,0.1196,0.2394,-0.3,0.6119,0.6863,0.6169,0.6658,0.6371,0.6413,0.6302,0.6663,0.6667,0.5973,0.6301,0.4292,0.6131,0.5867,0.513,0.5286,0.542,0.6852,0.187,0.2447344830498471,-47.55147950371104,-5.035530598483037
0.352,-0.3,0.3217,0.5799,0.5646,0.6628,0.594,0.5789,0.5147,0.4598,0.3853,0.296,0.2382,0.2221,0.2051,0.2863,0.268,0.2021,0.1575,0.1937,0.3579,0.421,0.6103,0.21229701106961188,-47.343774812919676,-4.8703536943009835
0.1088,0.4147,-0.3,0.3683,0.527,0.5666,0.5881,0.6484,0.6268,0.5702,0.4106,0.3297,0.3028,0.3094,0.255,0.228,0.3458,0.3466,0.4073,0.4182,0.4046,0.5447,0.2449,0.20332767883452849,-47.37894368304534,-5.9180076904170935
0.2629,0.1571,0.2702,0.806,0.7941,0.7888,0.6719,0.6556,0.4821,0.2194,0.192,0.1769,0.1537,0.1869,0.5857,0.6951,0.5122,0.1944,0.1579,0.2347,0.5902,0.5902,0.9761,0.2656372714068459,-43.67992994779374,-14.09149506726289
0.7199,0.6137,0.6597,0.4488,0.1655,0.1572,0.1493,0.2764,0.4439,0.801,0.8701,0.8363,0.7139,0.2016,0.1708,0.1649,0.1565,0.1321,0.1649,0.3159,0.4262,0.9212,0.9224,0.29405553312472255,-45.42987874721488,-14.189663778014948
0.5725,0.5071,0.4483,0.2642,0.1585,0.1846,0.8099,0.9251,0.9411,0.8836,0.5612,0.18,0.1695,0.1622,0.1796,0.1467,0.1449,0.3685,0.5924,0.5282,0.8032,0.5976,0.4652,0.2759130319245011,-45.431106978957864,-14.25096365562604
0.4069,0.1507,0.2268,0.2797,0.4101,0.7341,0.8114,0.8511,0.8546,0.8002,0.6965,0.6147,0.4501,0.3045,0.1553,0.1137,0.2072,0.3759,0.6171,0.8394,0.8947,0.7543,0.4283,0.2662099203628684,-45.448555694529226,-14.285108553859693
0.5294,0.153,0.2036,0.119,0.102,0.1181,0.2297,0.4442,0.5495,0.6702,0.6521,0.6144,0.4409,0.1565,0.1221,0.118,0.1016,0.1025,0.2707,0.5133,0.8317,0.8774,0.8003,0.26872790182151035,-45.98008725903271,-14.609514145402287
0.5044,0.5933,0.2887,0.1481,0.1323,0.2537,0.661,0.775,0.7537,0.5427,0.473,0.3889,0.2797,0.1973,0.2,0.0858,0.1045,0.5368,0.6245,0.7509,0.7472,0.4556,0.4291,0.2288549882615057,-45.95331743149122,-14.602031124456019
0.7663,0.591,0.5781,0.4201,0.1852,0.1477,0.4222,0.8539,0.8954,0.9107,0.74,0.2349,0.1652,0.1605,0.1708,0.1584,0.1397,0.2843,0.3396,0.6031,0.5732,0.4901,0.3719,0.2622324228558283,-45.44113431834154,-14.259082740976444
0.2712,0.2573,0.2929,0.7152,0.6174,0.7378,0.776,0.6926,0.6076,0.5936,0.4058,0.2216,0.1083,0.1179,0.1861,0.2934,0.2909,0.7763,0.5375,0.2882,0.2016,0.276,0.1887,0.22881661323015548,-46.10155718409153,-13.813239793968027
0.3463,0.1934,0.0957,0.1011,0.5717,0.7624,0.7508,0.7362,0.7626,0.6965,0.5898,0.335,0.2395,0.0993,0.1083,0.1063,0.1449,0.3967,0.4987,0.7508,0.5634,0.418,0.3475,0.2515196228367416,-45.5790523845651,-14.785527782449845
0.4903,0.5038,0.2829,0.211,0.2962,0.275,0.1753,0.3049,0.4727,0.7756,0.8494,0.5805,0.2221,0.1883,0.1839,0.5063,0.6538,0.8272,0.5752,0.6106,0.611,0.357,0.2984,0.21322762976420684,-45.93576232671438,-13.71736877093492
0.3001,0.3864,0.2366,0.096,0.1067,0.338,0.6792,0.7808,0.8017,0.7529,0.737,0.6423,0.5334,0.2782,0.2185,0.1704,0.1488,0.1816,0.52,0.4515,0.9397,0.982,0.879,0.2890981570796975,-45.595229317602005,-14.788741367286615
