2017-11-01,2017-11-17,2017-12-03,2017-12-19,2018-01-01,2018-01-17,2018-02-02,2018-02-18,2018-03-06,2018-03-22,desvio,lat,long
0.3845,0.4395,0.3345,0.5559,0.6063,0.4491,0.1229,0.4183,0.7691,0.42,0.17130550000899952,-3.5293092232349057,-42.972742327129815
0.4213,0.4403,0.3717,0.301,0.4363,0.4204,0.6343,0.2392,0.4159,0.8055,0.16201502982405333,-3.0544374032761485,-42.86942262197267
0.4321,0.4371,0.4098,0.552,0.2167,0.4261,0.9145,0.2281,0.5123,0.6478,0.20217366709506623,-3.1282649384703713,-42.89639193890591
0.4969,0.4614,0.5405,0.503,0.5185,0.4944,0.7429,0.5019,0.2391,0.1377,0.1662089651947545,-2.8123565500993752,-41.85066139244625
0.422,0.3307,0.3004,0.0695,0.4246,0.4583,0.2437,0.6278,0.667,0.5545,0.18225516453587812,-3.2203523151992215,-42.83454749072197
0.4234,0.4664,0.3847,0.2298,0.2053,0.6057,0.5694,0.5856,0.6269,0.6437,0.1610738164113998,-3.0346981229194063,-42.76532541389557
0.4456,0.5088,0.4004,0.1741,0.4765,0.6364,0.4107,0.7324,0.6064,0.6527,0.16150468861443137,-3.07132132202733,-42.903654316654205
0.4119,0.514,0.3542,0.1615,0.4739,0.4315,0.4345,0.7897,0.5828,0.5292,0.16160980305799658,-2.9826456155174563,-42.77460333233247
0.384,0.4243,0.3572,0.1561,0.4445,0.4161,0.3057,0.6594,0.6358,0.6384,0.16167725910316239,-3.1317250248381576,-42.735445409251454
0.4549,0.4568,0.4936,0.2076,0.1554,0.427,0.5496,0.3125,0.7697,0.4895,0.1755240800194283,-2.8513570467638427,-42.26300891762489
0.4812,0.4194,0.3864,0.4617,0.2744,0.4386,0.1404,0.535,0.4115,-0.3,0.24664778846678428,-2.6228937306595927,-42.70287597541194
-0.3,-0.3,-0.3,-0.3,0.185,-0.3,0.0834,0.3601,0.2803,0.2892,0.2932456118834328,-2.7351181860371327,-42.413319495508325
0.0236,0.0659,0.0052,0.1058,0.1058,-0.3,0.346,-0.0549,-0.0536,-0.0979,0.16679088337729306,-2.8714873090644693,-41.678689598149965
0.4339,0.4004,0.3786,0.1788,0.0713,0.5027,0.6057,0.2941,0.1779,0.4224,0.16463706076633466,-2.840963223409167,-42.71743054939925
0.2919,0.2935,0.3532,0.2946,0.2137,0.3301,0.3978,-0.3,0.5432,0.2047,0.21981775304910103,-2.7286856694910626,-42.44811611463879
0.319,0.4332,0.3349,0.2691,0.279,0.625,0.2058,0.6685,0.511,0.5967,0.16641773276240057,-3.000666571362863,-42.8347260699254
0.3085,0.3427,0.3572,0.0945,0.1875,0.5383,0.6633,0.5094,0.6283,0.4636,0.18489978697181406,-3.2993143777142864,-42.10664141230176
0.397,0.3549,0.3673,0.4077,0.4077,0.5197,0.0986,0.6491,0.277,0.647,0.16499230285076938,-3.1655042162152838,-41.951703242459935
0.4419,0.5047,0.5081,0.463,0.463,0.4814,0.6736,0.8558,0.2918,0.7171,0.16252367485658478,-3.0213543259123568,-42.87259006596802
0.4282,0.344,0.4139,0.1263,0.491,0.377,0.5469,0.6134,0.6758,0.6597,0.16758095754987595,-3.1129790611954054,-42.59857519520401
0.4082,0.3972,0.3641,0.2003,0.4705,0.4893,0.31,0.6747,0.7343,0.5565,0.1624065368826705,-3.2516638288898227,-42.76621267720249
0.1533,-0.0207,-0.3,0.0541,0.0544,-0.0014,0.1299,0.0879,-0.3,0.0634,0.16255317386422613,-2.7426841114489724,-42.401439412171456
0.1634,0.5325,0.3721,0.5704,0.8052,0.1139,0.2933,0.3595,0.3304,0.4501,0.20269338530017314,-3.2636997924881315,-42.1645945804749
0.4139,0.4277,0.4559,0.2659,0.1161,0.4315,0.6669,0.4507,0.5601,0.619,0.16139556685361592,-3.0148660610086786,-42.38666335864054
0.3485,-0.3,-0.3,0.3031,0.0364,0.3532,0.0905,0.4874,0.4972,0.4526,0.30359767767374124,-2.731310613522309,-42.40793503084978
0.0788,0.1799,0.0723,0.0369,0.0369,0.1077,0.0701,0.0915,0.5717,-0.1221,0.17853995537880776,-3.242085652200334,-42.00230659220141
0.4748,0.5149,0.0843,0.4437,0.4437,0.468,0.5353,-0.3,0.1355,0.631,0.2840541646314034,-2.5655193356418504,-44.08791924823263
0.4991,0.1067,0.3704,0.471,0.543,0.554,0.5687,0.4358,0.6902,0.623,0.1617017381202537,-2.843934447147665,-44.063555406775805
0.3637,0.259,0.2608,0.1624,0.2956,0.2602,0.4784,0.6965,0.4027,0.6183,0.17162520664388306,-3.0590153544264886,-44.255718529363186
0.3842,0.4325,0.3429,0.1341,0.1628,0.3511,0.5419,0.6465,0.6221,0.4584,0.17223232533089974,-2.7836710253112,-44.041473186022145
0.4251,0.4641,0.4095,0.0895,0.5058,0.6416,0.5757,0.3553,0.6736,0.5803,0.16968111431610636,-3.0401050508797978,-42.75708620347412
0.2267,0.2549,0.2584,0.2254,0.2689,0.4801,0.6016,0.3726,0.6236,0.7689,0.1977781048998543,-3.0970607136369166,-44.33182467978182
0.5123,0.5212,0.5137,0.1965,0.3672,0.4763,0.6549,0.6676,0.7848,0.682,0.17102364521381896,-2.9426678992655613,-43.15845274375394
0.4396,0.5848,0.5339,0.4852,0.1091,0.3289,0.4789,0.775,0.5726,0.6291,0.18009183120471253,-2.54179321317892,-44.34199084888843
0.345,0.4428,0.3186,0.0983,0.1083,0.1502,0.3911,0.2485,0.6076,0.5159,0.17310737868605014,-2.655222440976293,-44.315889501159546
0.193,0.4708,0.2038,0.3593,0.1281,0.282,0.2359,0.6867,0.1422,0.5266,0.1849755611485534,-2.539068666276584,-44.32161876473708
0.4581,0.4848,0.3826,0.1061,0.1406,0.4376,0.6896,0.511,0.5362,0.3878,0.17607790068918674,-2.776845201129359,-43.713727672016795
0.5192,0.5968,0.5001,0.1417,0.3823,0.7051,0.5578,0.5868,0.6088,0.6486,0.16080380592510862,-2.5644491937761345,-44.10964191905728
0.4684,0.6209,0.5626,0.3272,0.271,0.5814,0.5801,0.8801,0.5912,0.7092,0.17523850065299892,-3.0740844428169827,-44.09035755519838
0.4669,0.5221,0.4488,0.1193,0.4874,0.1572,0.3906,0.3223,0.5874,0.8383,0.20787802005556583,-2.835808318926935,-43.55363990986689
0.2249,0.2446,0.273,0.1252,0.4244,0.5362,0.5278,0.6277,0.5967,0.2279,0.18209197431823052,-3.125279132965741,-44.32181755248713
0.2154,0.2571,0.3566,0.2481,0.2234,0.4738,0.4396,0.145,0.6414,0.6164,0.17419675848495764,-2.631333305789917,-44.30429836623704
0.3778,0.3182,0.2882,0.154,0.138,0.1837,0.6585,0.4019,0.5342,0.6086,0.18637724855190288,-2.9813905567998047,-42.96601373900836
0.2841,0.2322,0.2776,0.2026,0.5343,0.5654,0.5777,0.4564,0.5973,0.1618,0.1732478519988696,-3.3289043057689574,-44.452111643061365
0.2748,0.2792,0.2064,0.0463,0.3125,0.2304,0.4505,0.1362,0.6364,0.4987,0.17663845183500296,-2.5998512749159777,-44.303641067248755
0.3951,0.4991,0.3794,0.1815,0.3423,0.7237,0.6951,0.5733,0.5824,0.645,0.17420470366146196,-2.674956821467081,-43.851315990273626
0.432,0.4833,0.4994,0.1335,0.5207,0.2637,0.6472,0.2338,0.4952,0.6094,0.16783862487520565,-2.6536042633982,-43.666369847798244
0.4313,0.4669,0.364,0.335,0.0958,0.6569,0.2966,0.4216,0.8709,0.4551,0.20814551774072762,-3.155890508964229,-43.49626666966118
0.33,0.3221,0.3828,0.0545,0.2182,0.5339,0.5185,0.2637,0.5381,0.7341,0.19546117233069304,-2.9206536806244983,-44.329637664048526
0.6073,0.5337,0.3479,0.1139,0.122,0.3831,0.6846,0.5507,0.5693,0.5111,0.19713386991247006,-2.4569936998643507,-44.126982927108784
0.3836,0.4522,0.3807,0.126,0.3855,0.3952,0.6734,0.5351,0.1495,0.4641,0.16269774327465844,-3.11552399807214,-43.03983133517413
0.3808,0.4727,0.3403,0.1716,0.4115,0.3611,0.4558,0.6122,0.837,0.41,0.1769245350738871,-2.8004996880575317,-44.045642763147974
0.4213,0.0356,0.4598,0.4414,0.4414,0.6935,0.6506,0.3712,0.605,0.4897,0.18346635325796876,-2.4999614294664827,-44.27266355627528
0.2195,0.3146,0.3206,0.3302,0.3005,0.1473,0.5329,0.6141,0.5813,0.5754,0.16717885432474208,-3.071554499630976,-44.339399746847725
0.3338,0.2385,0.2213,0.0845,0.445,0.6038,0.5692,0.2794,0.6115,0.4677,0.18131476651270176,-2.8902460560776486,-44.3104909615561
0.4701,0.4982,0.4965,0.186,0.0689,0.5881,0.7625,0.602,0.8307,0.6753,0.237893080792378,-2.9453993756808243,-43.169780609014424
0.404,0.1762,0.3093,0.1146,0.449,0.4628,0.5063,0.4009,0.6931,0.6078,0.17794452319004744,-2.7711976007769445,-44.05362778025577
0.1913,0.3253,0.2939,0.1637,0.1363,0.4332,0.6044,0.5593,0.4454,0.5608,0.17440112257538812,-2.5280969273268195,-44.128420150919865
0.4206,0.4444,0.3771,0.5736,0.4582,0.6402,0.0855,0.4901,0.1881,0.5785,0.17364187954906884,-2.7691465932539043,-43.624283203869574
0.2283,0.5479,0.5207,0.8064,0.8064,0.6863,0.1998,0.1268,0.4885,0.5035,0.24217231330879535,-2.5322491352143546,-43.37257864872902
0.3822,0.4585,0.412,0.1627,0.2778,0.6133,0.4143,0.3096,0.7809,0.6015,0.18185691445016142,-3.1766108241871365,-43.566417481306466
0.3736,0.4855,0.3001,0.1367,0.1367,0.2715,0.5002,0.4831,0.734,0.5712,0.19176341442285366,-2.6671820939642394,-44.349482281326644
0.5388,0.6467,0.4963,0.2973,0.3811,0.2856,0.5275,0.5551,0.1332,0.2164,0.16930804929345666,-2.8813763951475764,-44.05394338207993
0.4713,0.5013,0.3684,0.2276,0.1962,0.5898,0.5398,0.1928,0.9873,0.4326,0.23719871392756095,-3.03645926088398,-43.90264779150421
0.3782,0.4881,0.5149,0.069,0.299,0.4983,0.497,0.2633,0.4665,0.6699,0.1680438223268628,-2.8298161746077533,-44.05533502980396
0.4639,0.158,0.393,0.1328,0.742,0.6822,0.3747,0.2681,0.5466,0.4671,0.20262387267490908,-2.578315863552195,-43.811066572055644
0.5109,0.634,0.5798,0.1269,0.5982,0.7059,0.3216,0.3564,0.4687,0.5771,0.17435726572503685,-2.630741222025766,-43.60231482288457
