2017-11-01,2017-11-17,2017-12-03,2017-12-19,2018-01-01,2018-01-17,2018-02-02,2018-02-18,2018-03-06,2018-03-22,desvio,lat,long
0.4541,0.4598,0.4695,0.4671,0.4671,0.7197,0.6578,0.6247,0.8184,0.6125,0.13047634992169613,-3.0468251601047376,-42.86039951787508
0.4071,0.5636,0.4103,0.5108,0.5108,0.5068,0.4105,0.5613,0.6551,0.5141,0.0794213265509404,-2.698278985302312,-42.69923052740271
0.3762,0.445,0.4592,0.3525,0.3525,0.3738,0.4194,0.2864,0.5181,0.4257,0.06597701283191157,-3.0322414624684764,-42.89199394572714
0.4179,0.4661,0.3736,0.2216,0.4239,0.4535,0.6341,0.6819,0.6476,0.624,0.1480418169152066,-3.073209923390765,-42.7656504460851
0.4002,0.4378,0.3571,0.1954,0.4643,0.3941,0.4339,0.5442,0.652,0.5774,0.12709893958819818,-3.0152944413524247,-42.82579446582045
0.3931,0.4434,0.3466,0.1776,0.3845,0.5893,0.6367,0.5282,0.5695,0.3548,0.13968316569213982,-3.061269883593892,-42.76230300145315
0.2755,0.2987,0.3484,0.3111,0.2473,0.2941,0.245,0.2743,0.3965,0.3878,0.053714286326409996,-2.7319540432698415,-42.454985031546
0.5127,0.4855,0.3723,0.4992,0.4992,0.5207,0.2682,0.5458,0.2822,0.2515,0.1173576873399343,-2.8356868705089875,-41.85949276858123
0.3845,0.4395,0.3345,0.5559,0.6063,0.4491,0.1229,0.4183,0.7691,0.42,0.17130550000899952,-3.5293092232349057,-42.972742327129815
0.4213,0.4403,0.3717,0.301,0.4363,0.4204,0.6343,0.2392,0.4159,0.8055,0.16201502982405333,-3.0544374032761485,-42.86942262197267
0.5557,0.51,0.4481,0.5109,0.5109,0.4651,0.2339,0.5099,0.4306,0.6844,0.11309025156926655,-2.8318390409589247,-41.83982810554683
0.4321,0.4371,0.4098,0.552,0.2167,0.4261,0.9145,0.2281,0.5123,0.6478,0.20217366709506623,-3.1282649384703713,-42.89639193890591
0.448,0.4758,0.3968,0.5315,0.5315,0.506,0.3139,0.6858,0.5837,0.5408,0.10207106239173655,-3.1748287650112834,-42.854070264800036
0.4427,0.4637,0.4739,0.4099,0.4099,0.4756,0.6025,0.7859,0.4452,0.5929,0.11782642412558494,-3.041932140021951,-42.85487845292359
0.5303,0.4891,0.4002,0.564,0.6627,0.5167,0.4536,0.5367,0.7544,0.5056,0.10165956313981372,-3.5510023130098003,-42.96999565328664
0.3887,0.3806,0.4348,0.1791,0.4562,0.3848,0.3839,0.2097,0.3369,0.5946,0.1182936088251977,-3.1489760084721725,-42.6875201739686
0.376,0.4347,0.357,0.5495,0.4043,0.4768,0.3098,0.5912,0.5926,0.6478,0.11564963419262894,-3.0683471896260186,-42.774698263042545
0.4118,0.4619,0.3973,0.5904,0.6599,0.5508,0.252,0.6171,0.6141,0.616,0.13117240605825262,-3.08351652198228,-42.76603364272851
0.4828,0.4415,0.3222,0.2836,0.2452,0.4325,0.2596,0.5761,0.3753,0.4177,0.10654821808823353,-3.4126359329833367,-42.95382769595419
0.4184,0.4246,0.366,0.4645,0.4361,0.4564,0.3154,0.6039,0.5253,0.5585,0.08686603287054535,-3.2717234790408765,-42.7619859622115
0.4165,0.4214,0.3297,0.1096,0.3854,0.4565,0.3919,0.4068,0.113,0.5274,0.13848495947213907,-3.453533795422377,-42.80650753779695
0.4287,0.4873,0.4022,0.3226,0.3977,0.4807,0.5035,0.4824,0.3211,0.6219,0.09058196349776876,-3.0588389671502347,-42.90071078393167
0.4604,0.4081,0.3146,0.4445,0.5243,0.409,0.1851,0.5188,0.2303,0.4617,0.11606151434093522,-3.5228136450393173,-42.97923498549344
0.4764,0.6043,0.4194,0.5596,0.6139,0.5251,0.2887,0.5589,0.1658,0.5331,0.14510419091887808,-3.582968192009713,-42.95197341361997
0.4969,0.4614,0.5405,0.503,0.5185,0.4944,0.7429,0.5019,0.2391,0.1377,0.1662089651947545,-2.8123565500993752,-41.85066139244625
0.3875,0.4063,0.3658,0.1024,0.4506,0.4151,0.36,0.483,0.52,0.4723,0.11580592001754968,-3.0748660045595417,-42.77940600187849
0.4312,0.4184,0.3255,0.3364,0.5578,0.5032,0.2176,0.5092,0.5812,0.5725,0.121893159046036,-3.5027945357797776,-43.00370743068824
0.4015,0.451,0.3738,0.182,0.5576,0.4728,0.6369,0.322,0.2175,0.6147,0.15537711686231162,-3.0609773515941017,-42.88478828514933
0.4074,0.4085,0.3872,0.2849,0.4164,0.3181,0.5501,0.3876,0.3943,0.5225,0.08003127166579602,-3.031084134701848,-42.855304543602394
0.3712,0.4254,0.3848,0.2234,0.3011,0.2948,0.6177,0.4833,0.5836,0.3695,0.12579195169449878,-3.136139873944698,-42.77050943663694
0.4022,0.4263,0.4387,0.2223,0.5146,0.4914,0.604,0.7217,0.633,0.4709,0.13908443838186932,-3.1277990305368677,-42.67664062215289
0.4049,0.3586,0.4171,0.3171,0.1237,0.4199,0.4772,0.2719,0.3933,0.3927,0.10009130498366646,-2.731980403304956,-42.467388491484996
0.4176,0.3957,0.3757,0.4521,0.1858,0.3716,0.2607,0.5854,0.4185,0.4437,0.10826013732363976,-3.3549525037539096,-42.86934047186861
0.4377,0.3992,0.4401,0.3496,0.3496,0.384,0.6392,0.5513,0.5817,0.3854,0.10268125221069109,-3.0468447745214013,-42.870246954946
0.3704,0.3436,0.343,0.3637,0.3637,0.3458,0.3723,0.3398,0.4705,0.3608,0.03818618714782727,-2.8393950348719814,-41.828218261330655
0.4113,0.3331,0.3494,0.5226,0.4382,0.4331,0.2408,0.6227,0.4255,0.4879,0.10596883399272533,-3.577008293393716,-42.95522609881849
0.4239,0.4839,0.3986,0.2629,0.2629,0.47,0.4176,0.3357,0.5244,0.4638,0.09061780607462186,-3.1418161799150535,-42.89137313560728
0.3867,0.3967,0.3406,0.537,0.4954,0.4731,0.3821,0.5674,0.5419,0.3051,0.09205499563968392,-3.0547525252540715,-42.75826986209113
0.5875,0.5058,0.2614,0.4897,0.4897,0.3846,0.521,0.4008,0.2885,0.4657,0.10419040316224482,-2.73700401421348,-42.81378003845168
0.3523,0.4589,0.3523,0.136,0.5463,0.4841,0.4194,0.5837,0.5448,0.5889,0.1395165067892207,-3.0954486337467118,-42.76560400348895
0.422,0.3307,0.3004,0.0695,0.4246,0.4583,0.2437,0.6278,0.667,0.5545,0.18225516453587812,-3.2203523151992215,-42.83454749072197
0.5021,0.5133,0.3947,0.2622,0.5451,0.4805,0.419,0.6157,0.5174,0.5358,0.09841872902157509,-3.060210460234646,-42.77444529351215
0.5052,0.5041,0.3708,0.3757,0.359,0.6416,0.4833,0.4568,0.5206,0.5801,0.09249099415618797,-3.0417291644873887,-42.75559909418188
0.3887,0.4274,0.4453,0.2551,0.4831,0.5211,0.2131,0.2881,0.2975,0.4598,0.10654035020696254,-3.1484152540557764,-42.6792929225841
0.4168,0.404,0.3797,0.4321,0.4321,0.4216,0.3294,0.4512,0.5045,0.3507,0.05022550149077655,-2.8458877027615612,-41.824157742168225
0.4061,0.3937,0.3544,0.3424,0.4692,0.3997,0.7048,0.6162,0.65,0.6366,0.1389226119503629,-3.115517418193287,-42.76542690466739
0.3673,0.3928,0.4349,0.4772,0.4921,0.3953,0.588,0.6393,0.7171,0.6479,0.12415556057713331,-3.0089172744400137,-41.78703913036232
0.3957,0.4473,0.3736,0.4286,0.4286,0.4769,0.5721,0.796,0.5275,0.5888,0.12547472919543073,-3.0153474677616394,-42.85236783716058
0.3363,0.2519,0.4113,0.3633,0.3633,0.4701,0.5535,0.695,0.5822,0.5081,0.13357227756287357,-3.5668680276027485,-42.79328669778349
0.4002,0.4629,0.406,0.4587,0.4587,0.5699,0.4263,0.371,0.5924,0.5813,0.08045627107662619,-2.967027701684632,-42.83074539303614
0.4267,0.3978,0.3739,0.2263,0.4141,0.4554,0.4171,0.4987,0.2029,0.6945,0.1371527469648348,-3.123368712400261,-42.88938642360212
0.4178,0.3212,0.4261,0.3175,0.3568,0.3206,0.5589,0.517,0.5248,0.4183,0.09057126107840906,-2.717968494438849,-42.50934745729979
0.4592,0.5648,0.3828,0.5664,0.5664,0.5306,0.5,0.2847,0.5606,0.4982,0.09347532116375246,-3.181917548249689,-42.87186425631171
0.4066,0.4389,0.3835,0.2675,0.3044,0.4405,0.4714,0.488,0.1596,0.5864,0.1225927929728697,-3.0098603948721223,-42.82094925865393
0.4725,0.4558,0.3877,0.5911,0.257,0.4035,0.3795,0.5629,0.2564,0.6409,0.13103126895685793,-2.92402730175244,-42.75583785739383
0.4867,0.4121,0.4347,0.4017,0.5683,0.4072,0.6902,0.6464,0.5817,0.5066,0.10413438113002514,-3.1769754715048237,-42.59842871728897
0.3961,0.301,0.3385,0.3148,0.401,0.3302,0.5184,0.5783,0.5212,0.4512,0.09808149729235943,-3.3230155366759666,-42.44267811108436
0.39,0.5257,0.4231,0.4159,0.3796,0.4752,0.5738,0.3736,0.6167,0.4658,0.08437140379167446,-3.381663610335337,-42.92973730911333
0.4357,0.4976,0.4134,0.3382,0.4821,0.6044,0.4437,0.5776,0.6856,0.3644,0.10984365707677436,-3.0093643118699167,-42.844151222968954
0.4155,0.444,0.4216,0.4506,0.5226,0.4106,0.5174,0.5744,0.4246,0.5067,0.05696008348932708,-2.951866247738353,-42.5820732735144
0.4154,0.503,0.3948,0.3749,0.4769,0.5085,0.5551,0.3791,0.6087,0.4588,0.07824854702236402,-3.1396622036162265,-42.89920231247132
0.4838,0.6373,0.4428,0.4461,0.4461,0.4255,0.3983,0.3597,0.6818,0.5643,0.105225947898373,-2.705417321032024,-42.74546849432417
0.4566,0.4341,0.3476,0.4438,0.5559,0.4663,0.4533,0.5676,0.41,0.4037,0.06644470466318424,-3.5173771018608524,-42.97384791536569
0.4788,0.469,0.3146,0.2648,0.3939,0.4109,0.3491,0.5301,0.5861,0.495,0.10073604728309633,-2.6972126326116204,-42.70894109461271
0.3932,0.4721,0.2996,0.376,0.376,0.4461,0.4506,0.4186,0.3687,0.456,0.053020194265958706,-2.719613492097767,-42.7958760236823
0.4683,0.4966,0.4614,0.4111,0.4111,0.5128,0.4693,0.5529,0.3568,0.5287,0.060176961261488304,-2.727066234125276,-42.208569420253795
0.4138,0.4149,0.446,0.3697,0.3305,0.376,0.3849,0.5375,0.3169,0.3807,0.06252152429363826,-2.747156542168541,-42.46358154178653
0.3413,0.3512,0.3159,0.2951,0.4228,0.3914,0.6107,0.666,0.5186,0.4424,0.12599869664228897,-3.1413039920537567,-42.90634937983412
0.3781,0.3728,0.2965,0.3547,0.3246,0.4051,0.2417,0.2814,0.4579,0.2064,0.07695909158623025,-2.7647411071045984,-42.85364823704555
0.4589,0.4835,0.3698,0.4855,0.4507,0.6246,0.3846,0.2802,0.1696,0.3488,0.12545842870582005,-3.4341478096836013,-42.86862706716281
0.3318,0.3569,0.4183,0.5367,0.4124,0.4225,0.4117,0.5157,0.3007,0.6376,0.10229262002271282,-3.1397579921288568,-42.68861962374724
0.4238,0.5033,0.378,0.3422,0.5532,0.273,0.6441,0.2295,0.5245,0.5763,0.1373709370039141,-3.1315057636349506,-42.88950505684061
