2017-11-01,2017-11-17,2017-12-03,2017-12-19,2018-01-01,2018-01-17,2018-02-02,2018-02-18,2018-03-06,2018-03-22,desvio,amplitude,lat,long
0.4321,0.4371,0.4098,0.552,0.2167,0.4261,0.9145,0.2281,0.5123,0.6478,0.20217366709506623,0.6978,-3.1282649384703713,-42.89639193890591
0.422,0.3307,0.3004,0.0695,0.4246,0.4583,0.2437,0.6278,0.667,0.5545,0.18225516453587812,0.5975,-3.2203523151992215,-42.83454749072197
0.4549,0.4568,0.4936,0.2076,0.1554,0.427,0.5496,0.3125,0.7697,0.4895,0.1755240800194283,0.6143000000000001,-2.8513570467638427,-42.26300891762489
0.4812,0.4194,0.3864,0.4617,0.2744,0.4386,0.1404,0.535,0.4115,-0.3,0.24664778846678428,0.835,-2.6228937306595927,-42.70287597541194
-0.3,-0.3,-0.3,-0.3,0.185,-0.3,0.0834,0.3601,0.2803,0.2892,0.2932456118834328,0.6600999999999999,-2.7351181860371327,-42.413319495508325
0.2919,0.2935,0.3532,0.2946,0.2137,0.3301,0.3978,-0.3,0.5432,0.2047,0.21981775304910103,0.8432,-2.7286856694910626,-42.44811611463879
0.3085,0.3427,0.3572,0.0945,0.1875,0.5383,0.6633,0.5094,0.6283,0.4636,0.18489978697181406,0.5688,-3.2993143777142864,-42.10664141230176
0.1634,0.5325,0.3721,0.5704,0.8052,0.1139,0.2933,0.3595,0.3304,0.4501,0.20269338530017314,0.6913,-3.2636997924881315,-42.1645945804749
0.3485,-0.3,-0.3,0.3031,0.0364,0.3532,0.0905,0.4874,0.4972,0.4526,0.30359767767374124,0.7971999999999999,-2.731310613522309,-42.40793503084978
0.0788,0.1799,0.0723,0.0369,0.0369,0.1077,0.0701,0.0915,0.5717,-0.1221,0.17853995537880776,0.6938,-3.242085652200334,-42.00230659220141
0.4669,0.5221,0.4488,0.1193,0.4874,0.1572,0.3906,0.3223,0.5874,0.8383,0.20787802005556583,0.7190000000000001,-2.835808318926935,-43.55363990986689
0.3778,0.3182,0.2882,0.154,0.138,0.1837,0.6585,0.4019,0.5342,0.6086,0.18637724855190288,0.5205,-2.9813905567998047,-42.96601373900836
0.4313,0.4669,0.364,0.335,0.0958,0.6569,0.2966,0.4216,0.8709,0.4551,0.20814551774072762,0.7751,-3.155890508964229,-43.49626666966118
0.4701,0.4982,0.4965,0.186,0.0689,0.5881,0.7625,0.602,0.8307,0.6753,0.237893080792378,0.7618,-2.9453993756808243,-43.169780609014424
0.2283,0.5479,0.5207,0.8064,0.8064,0.6863,0.1998,0.1268,0.4885,0.5035,0.24217231330879535,0.6796,-2.5322491352143546,-43.37257864872902
0.3822,0.4585,0.412,0.1627,0.2778,0.6133,0.4143,0.3096,0.7809,0.6015,0.18185691445016142,0.6182000000000001,-3.1766108241871365,-43.566417481306466
0.5014,0.6079,0.4791,0.2292,0.5791,0.5844,0.7479,0.284,0.6809,0.2031,0.1905308140724516,0.5448,-3.1067376300174967,-43.289735861962654
0.4246,0.5077,0.3345,0.5705,0.7043,0.5412,0.1323,0.7825,0.5349,0.5293,0.18203937180975135,0.6502,-3.5293121779128507,-42.974092031625815
0.3503,0.4647,0.3627,0.1441,0.13,0.5137,0.5012,0.6379,0.215,0.6309,0.18663470113209565,0.5079,-3.3311364639304464,-43.480079939897614
0.4782,0.4958,0.3883,0.0941,0.6897,0.3021,0.293,0.7336,0.4537,0.5713,0.1922094968170581,0.6395000000000001,-2.5235438597056348,-43.35397660545148
0.455,0.4846,0.385,0.2116,0.1854,0.295,0.7033,0.5328,0.7655,0.5723,0.19465500107740474,0.5801,-2.9274064328119778,-43.11638745129241
0.5304,0.54,0.48,0.2462,0.1175,0.4811,0.1578,0.7922,0.2183,0.624,0.22241078236252648,0.6747000000000001,-2.935599177091862,-43.149020842036535
0.4283,0.4705,0.3482,0.6399,0.1747,0.4746,0.6476,0.2406,0.6404,0.6872,0.1803611685233579,0.5125000000000001,-3.0755412910118785,-43.13003064762774
0.3562,0.4302,0.3127,0.1254,0.4676,0.2982,0.275,0.8157,0.5597,0.3009,0.18979675210896288,0.6902999999999999,-2.767915114166659,-43.504210158484135
0.354,0.4183,0.3574,0.1361,0.4794,0.6384,0.2813,0.7483,0.5695,0.4844,0.17841453883208808,0.6122,-3.1390468982571806,-43.481175813675826
0.4376,0.5129,0.4386,0.0728,0.5691,0.5686,0.4606,0.5878,0.1794,0.5897,0.17823989732941387,0.5169,-2.6671925396678047,-43.68605215467321
0.3844,0.4529,0.4793,0.2332,0.1177,0.6046,0.164,0.6913,0.307,0.336,0.18461131059607372,0.5736,-2.794690392119465,-43.24758479152668
0.3805,0.5266,0.416,0.0359,0.1043,0.2334,0.4493,0.805,0.5091,0.6581,0.23758120389551957,0.7691,-2.8249486947890667,-43.54839146009422
0.4506,0.5173,0.4057,0.5235,0.401,0.5287,0.6956,0.7303,0.1476,0.7024,0.1758166093152496,0.5827,-3.7303085880552214,-43.69145024677625
0.3847,0.4491,0.385,0.1706,0.1706,0.623,0.2753,0.5976,0.2432,0.6459,0.18171834738896836,0.47530000000000006,-2.936727819842348,-43.5431223788011
0.4439,0.4896,0.4931,0.6355,0.1775,0.215,0.3059,0.1493,0.0924,0.553,0.19083495952727786,0.5430999999999999,-2.7565133611489987,-43.49923275435917
0.5207,0.5393,0.5185,0.3323,0.1987,0.3473,0.6901,0.2112,0.6265,0.6524,0.17954636046312816,0.49140000000000006,-2.9481598719893167,-43.198916826919834
-0.3,0.4793,0.4594,0.341,0.341,-0.3,0.4535,0.0575,0.4492,0.4654,0.3130933089529559,0.7793,-2.3090157476456947,-43.68128148295902
0.317,0.5,0.3717,0.3789,0.4789,0.2547,0.553,0.0967,0.4964,0.7905,0.18767602581754192,0.6938,-2.835668626895508,-43.08605289441538
0.4947,0.5283,0.4239,0.2302,0.1416,0.5277,0.2239,0.5267,0.1443,0.6943,0.19337770295460643,0.5527,-2.8461379822346924,-43.569008380442334
0.4136,0.4136,0.4908,0.0871,0.4717,0.3194,0.1174,0.6304,0.5574,0.4659,0.1764198845557571,0.5433,-2.7458109031620093,-43.623500517665455
0.4163,0.4685,0.4327,0.3806,0.2042,0.4563,0.3639,0.3334,0.2261,0.8438,0.1761523254963663,0.6396,-2.589830331173915,-43.42349257526285
0.4553,0.5895,0.5883,0.165,0.1175,0.1996,0.2393,0.3776,0.6262,0.7434,0.22211073339415383,0.6258999999999999,-2.594188794181579,-43.43751551459576
0.2781,0.345,0.2728,0.3023,0.3466,0.1937,0.5979,0.2546,0.7722,0.5195,0.18280643101986926,0.5785,-3.059079802431232,-43.02698320553109
0.3735,0.4069,0.3739,0.2153,0.1786,0.4827,0.7876,0.7128,0.5436,0.5773,0.19692067664135446,0.609,-3.0802580954204113,-42.764151946087615
0.4917,0.5973,0.5545,0.2841,0.3726,0.1064,0.4476,0.49,0.1327,0.6336,0.1846179072210133,0.5272000000000001,-2.61211202358658,-43.45084760426504
0.4193,0.4354,0.3455,0.1891,0.5498,0.5261,0.4406,0.8129,0.7108,0.4857,0.17629922669522216,0.6237999999999999,-3.1634850276697764,-43.494636225941456
0.3877,0.4427,0.4068,0.1491,0.2265,0.3971,0.5842,0.7078,0.5599,0.649,0.17802313083167343,0.5587,-2.7431475826453227,-43.2486047869216
0.2572,0.2089,0.1901,0.3353,0.1579,0.2222,0.4073,0.5905,0.8039,0.9234,0.2724113762104822,0.7655,-3.227366995519936,-43.39763880785544
