2017-11-01,2017-11-17,2017-12-03,2017-12-19,2018-01-01,2018-01-17,2018-02-02,2018-02-18,2018-03-06,2018-03-22,desvio,lat,long
0.4812,0.4194,0.3864,0.4617,0.2744,0.4386,0.1404,0.535,0.4115,-0.3,0.24664778846678428,-2.6228937306595927,-42.70287597541194
-0.3,-0.3,-0.3,-0.3,0.185,-0.3,0.0834,0.3601,0.2803,0.2892,0.2932456118834328,-2.7351181860371327,-42.413319495508325
0.3485,-0.3,-0.3,0.3031,0.0364,0.3532,0.0905,0.4874,0.4972,0.4526,0.30359767767374124,-2.731310613522309,-42.40793503084978
0.4701,0.4982,0.4965,0.186,0.0689,0.5881,0.7625,0.602,0.8307,0.6753,0.237893080792378,-2.9453993756808243,-43.169780609014424
0.2283,0.5479,0.5207,0.8064,0.8064,0.6863,0.1998,0.1268,0.4885,0.5035,0.24217231330879535,-2.5322491352143546,-43.37257864872902
0.5304,0.54,0.48,0.2462,0.1175,0.4811,0.1578,0.7922,0.2183,0.624,0.22241078236252648,-2.935599177091862,-43.149020842036535
0.3805,0.5266,0.416,0.0359,0.1043,0.2334,0.4493,0.805,0.5091,0.6581,0.23758120389551957,-2.8249486947890667,-43.54839146009422
-0.3,0.4793,0.4594,0.341,0.341,-0.3,0.4535,0.0575,0.4492,0.4654,0.3130933089529559,-2.3090157476456947,-43.68128148295902
0.4553,0.5895,0.5883,0.165,0.1175,0.1996,0.2393,0.3776,0.6262,0.7434,0.22211073339415383,-2.594188794181579,-43.43751551459576
0.2572,0.2089,0.1901,0.3353,0.1579,0.2222,0.4073,0.5905,0.8039,0.9234,0.2724113762104822,-3.227366995519936,-43.39763880785544
0.2124,0.2066,0.2811,0.1732,0.506,0.1683,0.2171,0.645,0.6736,0.9246,0.26804372549600514,-3.7136213515626206,-43.160395629377575
0.1455,0.1808,0.1404,0.4026,0.4491,0.2963,0.5004,0.5671,0.8697,0.7944,0.2572422034235872,-3.740234464111852,-42.930690884093366
0.4675,0.5656,0.4388,0.8767,0.8767,0.4513,0.7364,0.1658,0.6522,0.2077,0.24770400817642552,-3.1073103426397357,-43.30835649569629
0.1639,0.1282,0.2261,0.4338,0.7677,0.8431,0.8485,0.4349,0.2705,0.3261,0.2783957087791884,-7.859872750855322,-46.7398633653326
0.154,0.2028,0.1588,0.3471,0.9551,0.964,0.7712,0.5345,0.1625,0.2536,0.3324938268432797,-8.176941281467185,-46.394496079595
0.1483,0.1851,0.1432,0.5023,0.9656,0.9235,0.7784,0.5933,0.4783,0.2438,0.31596007061371256,-7.882685991840465,-45.85458787953374
0.1491,0.1975,0.438,0.721,0.917,0.9445,0.3398,0.1586,0.1341,0.1389,0.3284757905843291,-7.840179233159777,-46.50040052961857
0.23,0.153,0.2031,0.4344,0.7916,0.8706,0.5883,0.6995,0.1597,0.3286,0.27317603929416,-8.381125746539148,-46.757498181780385
0.1375,0.214,0.3176,0.7281,0.8867,0.9119,0.7399,0.2209,0.2118,0.1593,0.3214512129909193,-7.999730607872803,-46.76466920024004
0.1572,0.213,0.509,0.3077,0.8384,0.7869,0.1135,0.1381,0.3453,0.5175,0.2631308808263379,-8.550540079205298,-46.8393307760135
0.2283,0.1458,0.282,0.3845,0.6033,0.8024,0.749,0.7198,0.2588,0.1966,0.2545528639704444,-7.992617194343609,-46.77892404878993
0.2032,0.1929,0.3212,0.5628,0.8214,0.7648,0.6463,0.1683,0.2157,0.2951,0.25399805795408054,-7.9855855320340945,-46.77413188088534
0.2191,0.1278,0.1358,0.3538,0.9193,0.7288,0.8662,0.4541,0.3089,0.1705,0.3036247173732732,-8.06871416239542,-46.12449236471221
