"2017-11-01","2017-11-17","2017-12-03","2017-12-19","2018-01-01","2018-01-17","2018-02-02","2018-02-18","2018-03-06","2018-03-22"
3397,4831,4921,4450,4958,4410,5466,5745,5373,5543
5837,7602,7078,7937,6237,4795,7494,7139,8027,6836
2930,1920,1529,2508,2923,1830,1687,3011,6514,6159
2954,4048,3809,5620,4056,1885,2875,1820,2399,3992
2291,2652,3496,3973,6897,8328,9251,8156,8467,8324
3206,4120,6869,3453,3453,3435,4019,5420,6198,7769
3513,5222,6044,5791,5408,5446,6308,6217,5603,5498
5555,7358,7949,7659,7828,8076,7528,7667,8187,8226
5709,6707,7530,6310,7141,6924,7387,7512,6981,7191
5979,5821,7515,7468,7558,7533,6361,6558,7536,4237
4187,4426,3665,4830,8040,8064,8529,8785,2821,3839
5266,6921,7799,6102,6728,4914,7098,7748,8512,8674
6354,3833,3918,5715,7182,6034,8602,6661,5918,6492
4426,4814,4169,6786,7576,6147,7463,5893,5997,6193
6157,8590,8851,9152,9193,9145,5916,3133,3515,2373
2659,2039,3909,4371,5862,8648,9419,9447,8544,3501
2157,2357,6120,7464,9197,9263,9265,9315,6325,2938
3619,2589,5218,7629,8537,9100,9253,9390,8976,8528
2653,2991,7358,7561,7934,8958,8536,4342,1502,6013
2444,3528,5540,8544,9216,9404,9016,6591,4643,3851
6089,3812,1941,2679,5376,7518,9517,9207,8362,6903
4396,3320,3179,4294,6630,7860,9385,8791,6054,3819
5023,8353,8519,8580,8451,7706,6732,6669,6927,2373
2267,3235,9464,8583,8850,8863,9050,8819,7794,5767
7026,8701,7746,8122,8442,7556,6644,6929,6111,2222
5194,8162,6637,9057,9414,9267,7359,5337,7540,8873
2775,2192,2311,4375,8185,8809,9203,9456,7826,4564
8593,9080,5681,7743,7447,7517,4287,5118,3897,3593
6140,5490,4551,4120,3729,4311,8803,9431,6943,5571
2914,5985,6234,3140,5120,5750,8795,8869,8280,6958
6013,3753,2417,3345,3133,4324,8315,9120,2870,9264
2366,2200,2302,2125,2736,2414,2804,3385,4563,4499
2214,1923,2197,3088,2100,2285,3556,4194,4653,6426
1731,1436,2142,1838,2082,2430,3287,4209,3974,5720
1637,1413,1970,2036,1544,2144,5921,8001,6997,8722
1718,1900,2032,2997,1569,2177,1127,2160,1889,1573
1704,1650,2028,2229,2805,3500,3850,3863,4185,5699
1739,1421,2041,1213,1527,1575,2643,3628,3508,3709
2212,3539,8275,8633,8552,8461,6385,4846,4371,4622
5246,8641,9415,8794,9086,9103,6294,2742,2856,2557
2356,2760,2824,3027,3004,3082,6942,8622,8300,8914
8208,8393,6141,6710,4215,3054,3702,4787,6365,8898
1904,3290,6352,6920,7697,8045,7469,7721,7876,7167
3647,5581,3465,3234,5771,6685,9081,9040,7247,6520
2086,2765,4109,6075,8931,9090,9275,8695,9071,6689
2342,2625,2925,2505,7022,8375,8669,5784,3819,4478
2761,7611,7771,8471,8144,6684,4377,3204,3313,3278
