"2017-11-01","2017-11-17","2017-12-03","2017-12-19","2018-01-01","2018-01-17","2018-02-02","2018-02-18","2018-03-06","2018-03-22"
1639,1282,2261,4338,7677,8431,8485,4349,2705,3261
3711,2644,2383,3772,6205,7288,6192,3122,2354,2093
1540,2028,1588,3471,9551,9640,7712,5345,1625,2536
1673,4101,1587,2596,3270,4197,7825,5247,4334,3770
3556,1650,2414,3827,4480,6830,6100,2701,3786,4056
1483,1851,1432,5023,9656,9235,7784,5933,4783,2438
1491,1975,4380,7210,9170,9445,3398,1586,1341,1389
1768,2422,3078,5314,5835,6486,8255,5541,3509,3293
2300,1530,2031,4344,7916,8706,5883,6995,1597,3286
2593,3490,3303,3738,3370,3751,1914,3181,3290,3281
1375,2140,3176,7281,8867,9119,7399,2209,2118,1593
2364,4367,4254,4505,4300,5080,5615,3540,3875,5032
1625,3056,3302,6161,5028,6005,5018,2003,1801,1837
1572,2130,5090,3077,8384,7869,1135,1381,3453,5175
3568,3061,3378,3784,3079,3804,1716,5311,3464,2954
1811,2350,3571,3679,2649,1943,3254,3963,5878,4360
2283,1458,2820,3845,6033,8024,7490,7198,2588,1966
2168,3749,3646,5628,2828,4277,3618,3581,4859,4634
2648,2496,2504,5740,7370,4828,2659,4535,3790,3975
3137,2479,4098,4415,6860,6326,7943,6163,3622,3711
2579,3361,3698,5656,4060,4431,1251,3409,3418,3953
2957,1746,3355,5100,7208,7080,4557,4389,2047,2054
2032,1929,3212,5628,8214,7648,6463,1683,2157,2951
2642,4431,3177,4023,6718,5586,7104,6435,5377,3718
3808,678,3318,3888,3921,5145,2229,2566,5359,4407
2191,1278,1358,3538,9193,7288,8662,4541,3089,1705
3848,2695,3739,4114,4328,4540,5317,3540,4146,2209
1876,1821,2225,6113,8481,9169,3280,4686,2196,1848
1759,2995,3038,3728,3484,2776,3712,3100,3217,3018
897,1827,8308,8894,8571,8744,3379,1997,2157,7079
2150,2531,3281,3414,4078,4353,4300,4185,5123,5105
4020,2218,2609,5617,5917,6032,6580,4642,5879,4886
1616,1914,3002,8581,4966,8831,5705,1475,1989,4274
1947,4194,3151,4398,5023,5023,3985,4099,5030,4647
3000,3886,3436,5383,4293,5118,4445,3813,2895,4233
2023,3351,3297,2268,2986,3237,1989,3428,2367,3328
1337,1698,4261,6276,7152,7916,2700,2054,2927,3127
5594,4308,3499,3790,2679,3733,7476,5824,3854,3771
5452,4649,4917,2151,5466,3182,6368,5415,4683,7116
1868,1512,2064,2872,3971,4604,2789,5415,3468,4753
6117,6248,4889,917,3956,2583,4573,3032,6312,2271
5434,4883,5296,3650,7139,5733,4378,6235,3733,4437
4447,4462,4541,1680,4859,4476,4836,6236,3112,4238
3567,4578,4098,1867,5192,4369,4729,4290,5349,5585
5119,5357,7945,8393,8194,6745,6662,6974,7717,3123
2274,1723,1338,4283,6715,6167,5170,8346,8793,7576
4172,5961,4643,4524,6527,6260,5758,4326,5561,3065
2725,2019,2075,3752,4698,3872,2446,2909,7157,7046
5867,5130,5286,5420,6852,1870,7639,6420,3683,2961
4142,6227,5270,3790,6937,6502,6070,5877,3045,4088
2021,1575,1937,3579,4210,6103,5685,5236,2754,5687
3137,4152,4851,1461,4532,5026,6724,5487,4648,5036
3041,5177,4900,5222,5222,4968,5455,3927,1817,3759
5187,6116,5455,4850,7411,5504,7022,3071,4540,4731
2723,2879,2845,1394,790,3406,2626,5611,3647,4979
5312,5281,4846,1773,3555,6231,4988,4455,3520,4624
2783,3781,4113,4494,5945,5800,6182,4848,6501,4926
2689,2439,2956,1540,4464,2245,5736,1910,4469,3665
5196,6135,5616,4933,7144,3282,6637,2762,4564,3823
2538,3253,4117,1086,1934,1962,3913,4295,5464,2539
3304,2643,3413,1622,1694,2670,2520,4215,4809,5976
2653,3125,3688,3108,2713,5094,4064,2529,3598,2952
2029,2374,2500,3833,3818,4623,5617,1919,4832,4372
3835,5777,4318,2985,6008,5486,7343,5628,6899,4383
3154,2891,2929,1685,1689,1505,5523,3866,5073,6127
6374,6284,5543,3757,4118,4712,4888,6534,5555,2864
1959,3014,2914,4042,4365,4966,5271,4512,5862,6806
2561,3793,3249,3400,4704,4848,4607,4848,3585,5192
1984,1412,1662,3701,3441,1862,3266,5116,8004,6106
4827,4168,5589,6418,6617,6641,6195,3506,7230,5295
3466,4073,4182,4046,5447,2449,4407,3368,4470,1459
1944,1579,2347,5902,5902,9761,9152,6770,5449,1913
1321,1649,3159,4262,9212,9224,9861,6381,4837,1747
3685,5924,5282,8032,5976,4652,2508,1994,1812,1659
3759,6171,8394,8947,7543,4283,2441,2789,2132,3261
1025,2707,5133,8317,8774,8003,2107,1183,1093,1007
5368,6245,7509,7472,4556,4291,806,983,1072,1102
2843,3396,6031,5732,4901,3719,3270,2597,2889,2131
7763,5375,2882,2016,2760,1887,8002,8665,8505,8672
3967,4987,7508,5634,4180,3475,1194,1178,978,1449
8272,5752,6106,6110,3570,2984,2883,5394,8831,7684
1816,5200,4515,9397,9820,8790,6300,1812,985,1123
1292,1165,1215,1057,1593,999,1440,2678,2638,5755
1518,1894,4698,7201,6217,5195,4755,2471,1651,1722
796,1314,2108,1945,1983,1721,5820,8575,8424,8279
911,1352,2831,3543,8253,8936,9268,9154,8751,4561
1465,1471,1958,3532,7197,8142,9614,9516,7382,7246
2375,2683,8248,7046,7961,7778,3042,1986,2428,2221
7789,7315,6041,5116,4673,3646,2055,2116,2336,3195
1305,1322,2870,2365,1455,1084,1267,1132,1836,2679
3723,5299,1937,1509,1445,1582,2642,5091,6426,6582
1805,1632,1625,2006,2553,2682,8243,9911,9564,7944
3070,5164,4910,9835,9747,8808,1607,2047,2070,3574
8509,8244,5592,2209,1518,1666,3559,5361,4634,8430
1182,1478,2808,5480,8770,9117,8774,9144,8654,3898
1470,2276,5566,8256,8747,8303,2393,1884,2555,2533
6910,6168,5265,3173,1667,1325,1712,3905,2677,6051
875,1279,5497,7080,9147,9355,8874,8769,7570,2998
886,1280,1274,3978,4532,4351,2706,3121,3615,6367
1496,2122,1086,1058,1394,3065,4544,5985,3355,2284
1350,1872,1362,2457,4323,5920,8259,6974,6776,6266
1392,1736,2711,3765,8383,8018,6670,7750,6865,4903
8326,7881,6001,2043,1108,1870,4216,4356,7370,8976
1425,1451,1979,4595,7494,8286,7405,8531,6866,6364
2416,3572,9373,9683,9283,8714,3001,1960,1957,2123
1064,2280,6499,8052,6108,5121,3113,2194,1932,1560
1633,1692,2400,2989,5892,6794,8428,9090,8249,4679
1226,1285,3078,3559,7829,8621,9939,9328,8550,5879
1517,1804,4770,7427,9906,9619,7131,5427,3148,1405
1383,4820,5508,7556,5008,4730,2916,2203,2022,2001
6352,6466,5692,4586,2789,1972,1606,2240,2712,4669
6868,6926,8595,9114,6813,2997,1615,2236,1605,4000
7229,7681,2759,1620,1766,1618,4895,6459,4032,7800
6035,8064,8226,8207,8570,8301,2698,3327,2894,1514
1577,2469,4558,7980,9240,9002,5734,1731,2060,2111
8340,7353,2594,2049,1574,1846,4780,6618,6260,8947
921,827,935,877,1353,1132,2861,3469,2721,2911
1368,4462,7602,7301,6517,4983,3964,3660,2492,1805
1823,2104,3193,8417,9507,8925,5443,5922,1737,1968
1385,1797,2408,3428,8146,7517,7767,7361,6822,5031
1870,5623,8539,9283,8663,7007,1469,1864,1894,3219
6916,6897,5634,4546,3491,2446,1709,2107,2280,4455
7061,7872,4732,8970,8079,4231,1604,2377,2100,3221
2485,6009,9916,9835,8549,7152,1385,1896,2951,3481
1869,2264,2992,7269,8779,8439,7966,2356,2424,1921
2130,2879,9509,8735,9555,8903,2281,1802,2630,2348
4445,5107,9174,5824,7362,8229,3364,1718,3261,1563
1247,962,1266,1949,4602,5643,9638,9857,9024,7190
1359,1338,1310,2172,2906,3651,8621,9238,4554,2492
1986,5256,9215,8861,7762,5718,1532,1985,1887,4296
1333,1147,2895,1968,2568,2051,7566,9174,7916,7342
1242,2103,5082,8225,9442,8926,4764,1923,1719,2835
2225,2376,4169,7958,9274,8393,6784,2172,1891,1562
3177,7294,6026,6118,4076,3067,2807,2353,1706,2636
3981,3186,2509,2166,4872,6676,8944,9446,7745,3343
988,1219,1560,1239,1142,1149,5105,8562,6733,6830
2471,7343,7504,8453,8235,6492,1468,1843,2746,3894
3376,7948,9719,8099,8472,5028,1282,1750,1986,3093
1259,1520,3809,4387,9041,9051,5748,5755,4937,2073
2487,4069,7033,7102,5958,4758,2181,2723,3500,1873
6571,6977,4976,4314,3053,2293,1571,2225,2451,4621
7356,8039,5043,2355,1533,1644,3096,5517,4403,7780
9475,6983,3181,1651,1923,1963,4894,7180,7078,8534
1801,6621,5969,9542,9397,8687,1855,1924,2355,4168
2206,2293,6081,7064,8506,8388,6579,2175,2076,1910
2396,3637,6682,9218,9040,7542,1433,2027,3757,3340
7535,5708,4957,4606,2920,1701,2347,3905,5170,8172
2757,3232,5406,8730,8152,6977,1396,1928,2241,3526
2057,2100,6497,7871,8995,8399,2693,1720,2576,3198
3597,6125,5698,9506,9551,8621,1519,1946,2157,3126
