2017-02-02,2017-02-18,2017-03-06,2017-03-22,2017-04-07,2017-04-23,2017-05-09,2017-05-25,2017-06-10,2017-06-26,2017-07-12,2017-07-28,2017-08-13,2017-08-29,2017-09-14,2017-09-30,2017-10-16,2017-11-01,2017-11-17,2017-12-03,2017-12-19,2018-01-01,2018-01-17
-3000,5517,-3000,2709,4159,3643,5152,5649,4765,3523,2804,2418,2173,2071,1891,2044,1754,1639,1282,2261,4338,7677,8431
7841,5367,4273,4284,5174,3721,5814,6261,5104,3045,2391,2281,2074,2012,2032,2169,1685,3711,2644,2383,3772,6205,7288
4767,2248,1976,5573,6155,6307,4473,5363,3368,1791,1605,1689,1608,1455,1373,1501,1440,1540,2028,1588,3471,9551,9640
4428,6429,4699,2179,2383,4114,5122,5233,3816,2936,2743,2337,2065,1928,1909,2010,1493,1673,4101,1587,2596,3270,4197
4303,5690,4121,4508,4213,3658,4446,5726,4907,2895,2323,2163,2096,2024,1967,2115,1659,3556,1650,2414,3827,4480,6830
8492,8509,2994,1854,1720,4727,5869,6727,6016,3702,2093,2022,1943,1922,1897,1986,1991,1483,1851,1432,5023,9656,9235
4846,2876,2492,4507,8476,7218,6632,6246,3754,1814,1730,1730,1591,1710,1581,1721,1438,1491,1975,4380,7210,9170,9445
8530,4786,3660,2410,1595,4293,5034,5232,3834,3136,3759,2253,2080,2116,1897,1818,1717,1768,2422,3078,5314,5835,6486
7101,8170,4096,3596,2676,1614,3901,5548,4006,2772,1959,1811,1576,1718,1683,1778,1390,2300,1530,2031,4344,7916,8706
3170,3786,4187,3871,3193,3094,3200,3188,3032,2950,3061,2999,2567,2956,2795,2622,2822,2593,3490,3303,3738,3370,3751
6384,5492,2429,2424,3231,4240,6552,6785,3705,1701,1582,1362,1600,1384,1329,1664,1382,1375,2140,3176,7281,8867,9119
2360,3285,5626,4868,3966,4062,4191,3693,4058,4129,4370,4092,3715,3987,4226,4400,4285,2364,4367,4254,4505,4300,5080
2937,3486,2160,2429,2844,4917,6297,5169,4187,2127,1730,1580,1730,1551,1633,1732,1500,1625,3056,3302,6161,5028,6005
7957,4436,1568,4316,3581,6934,5910,5564,4648,1808,1533,1556,1656,1396,1436,1580,1375,1572,2130,5090,3077,8384,7869
3419,3998,4446,4668,3359,4413,2757,3021,2894,2647,3533,2604,2488,3578,2879,2945,2400,3568,3061,3378,3784,3079,3804
6082,3113,3240,3971,5866,4692,5525,5403,5132,2787,2890,2060,1745,1665,1561,1650,1372,1811,2350,3571,3679,2649,1943
2242,4797,1979,2338,2754,3913,6240,6654,4974,3483,2458,2255,2071,1726,1537,1926,1686,2283,1458,2820,3845,6033,8024
5028,5245,5577,4716,5096,3654,4876,3689,3542,3558,3434,2979,2751,3113,1983,2270,2289,2168,3749,3646,5628,2828,4277
5165,4858,2801,2002,4281,4186,5539,4181,3721,3045,3590,3484,3048,2199,2427,3342,2681,2648,2496,2504,5740,7370,4828
4359,6285,4745,5227,4337,3997,5089,5187,5396,4834,3854,3432,3019,2695,2678,2667,2641,3137,2479,4098,4415,6860,6326
5326,3987,4528,5145,3591,4302,3185,2818,2684,2049,2086,2373,2046,2021,2501,2977,2086,2579,3361,3698,5656,4060,4431
6729,7091,3303,2864,3991,4215,4934,4264,3992,2824,2608,2704,2856,2582,3155,2342,2256,2957,1746,3355,5100,7208,7080
7850,5546,3759,2242,2894,4538,6421,5651,4117,1855,1843,1631,1530,1618,1760,1922,1566,2032,1929,3212,5628,8214,7648
3235,5691,5417,3671,3256,3256,5457,6319,6718,4664,3981,3143,3071,2269,2354,2237,2283,2642,4431,3177,4023,6718,5586
6016,5800,5556,5430,4348,4086,4206,3691,4607,3834,3471,3659,3787,2983,3346,3352,3031,3808,678,3318,3888,3921,5145
7073,6500,2377,894,2000,5354,4783,5008,4934,2450,2108,2022,2184,2005,1894,1946,2110,2191,1278,1358,3538,9193,7288
5505,3523,4759,3282,3671,3506,3945,3556,3339,3260,3003,3182,3210,2958,3153,3098,3459,3848,2695,3739,4114,4328,4540
7847,7030,1930,2638,4131,6353,7000,5837,5054,2579,2118,2015,1687,1922,1824,1612,1507,1876,1821,2225,6113,8481,9169
3054,3461,3478,2545,2857,2575,3066,2265,2999,2584,2227,2190,2995,2183,2052,2257,1925,1759,2995,3038,3728,3484,2776
8022,2048,1604,-3000,6626,6715,6901,5688,3530,1942,1784,1710,1786,1627,1590,1976,1673,897,1827,8308,8894,8571,8744
411,6481,5808,4301,3992,4202,3373,4328,4311,4545,3685,4039,4089,2780,2348,2511,2144,2150,2531,3281,3414,4078,4353
5628,6075,4040,5018,4874,4685,4928,4758,4601,3946,3694,3655,3371,3215,2775,2423,2915,4020,2218,2609,5617,5917,6032
1895,1606,4690,8538,9085,6586,6759,5002,3011,1657,1819,1754,1850,1576,1555,1796,1693,1616,1914,3002,8581,4966,8831
3286,4418,5505,4606,3857,3468,4131,3435,3152,2664,2645,2368,2340,2411,2200,2064,1590,1947,4194,3151,4398,5023,5023
3816,3678,-3000,5550,4015,2874,2683,3492,3369,3223,2279,2678,3091,2155,2300,3130,2772,3000,3886,3436,5383,4293,5118
6659,4946,1882,4876,2983,3250,5352,3621,3381,3003,3331,3935,3229,3531,4190,3619,2706,2023,3351,3297,2268,2986,3237
2446,2024,2154,5609,5154,6267,4742,5207,4684,2462,1781,1810,1796,1495,1553,1260,1295,1337,1698,4261,6276,7152,7916
5409,4731,2692,4002,3632,7773,4911,5212,4212,4002,4152,3745,4579,4113,3896,5544,6105,5594,4308,3499,3790,2679,3733
3643,3410,2791,6849,6386,7683,6344,6243,7068,6141,6341,5521,6641,5243,4888,6060,6264,5452,4649,4917,2151,5466,3182
3786,6454,3767,5650,5260,5251,5229,6003,5582,4325,3701,3798,2536,2240,2545,3152,2295,1868,1512,2064,2872,3971,4604
5436,7921,4401,3268,5717,6803,6030,6057,5994,6269,6187,5985,6980,5842,6179,3561,6928,6117,6248,4889,917,3956,2583
3693,3028,6348,2480,4480,4523,4112,6433,6196,5512,5297,5163,5382,4724,4769,3822,5737,5434,4883,5296,3650,7139,5733
4427,2207,3149,2398,3508,6352,3582,5447,5653,5514,5028,4545,4675,2659,3675,4375,3522,4447,4462,4541,1680,4859,4476
7042,6123,5570,6811,4524,4663,4630,5001,5462,4283,4179,3825,3582,3809,2996,3064,4002,3567,4578,4098,1867,5192,4369
5225,6236,8920,6445,5584,6765,6334,6805,6377,6146,6342,6284,5823,5785,5611,5868,6130,5119,5357,7945,8393,8194,6745
2471,3573,5427,3983,6263,7271,6064,7494,7645,5964,5214,4685,3941,3022,2821,2612,2441,2274,1723,1338,4283,6715,6167
5799,4568,4913,7174,6105,5434,5637,5621,4720,4163,5048,5387,5355,5005,4622,4761,5960,4172,5961,4643,4524,6527,6260
4769,6830,3087,3240,2392,3157,4875,5391,6179,5869,6008,5002,4000,3629,3329,2771,2887,2725,2019,2075,3752,4698,3872
2187,1196,2394,-3000,6119,6863,6169,6658,6371,6413,6302,6663,6667,5973,6301,4292,6131,5867,5130,5286,5420,6852,1870
5245,6505,5546,5099,4607,5185,4809,5109,4910,4716,4636,4393,4587,5144,4180,1461,5545,4142,6227,5270,3790,6937,6502
3520,-3000,3217,5799,5646,6628,5940,5789,5147,4598,3853,2960,2382,2221,2051,2863,2680,2021,1575,1937,3579,4210,6103
5654,3695,3646,5918,5802,6827,5756,6181,4775,4617,4734,3748,3836,4242,3542,3159,3398,3137,4152,4851,1461,4532,5026
3909,1679,3697,5511,5174,5810,3800,5236,4239,3220,3905,2908,3940,2462,3656,3380,3736,3041,5177,4900,5222,5222,4968
5537,7599,4923,5021,6264,4262,1838,5818,5898,5358,5187,4940,4938,5328,4778,5622,5507,5187,6116,5455,4850,7411,5504
3724,4635,6095,3369,4018,4860,3918,4424,4738,4120,3517,3344,2966,2543,2607,2327,2744,2723,2879,2845,1394,790,3406
3342,5053,6205,6901,5827,5200,6887,5497,5289,5094,5002,5223,4854,4913,4694,4508,5489,5312,5281,4846,1773,3555,6231
6385,6861,1670,3789,5583,6344,5769,5674,5132,4746,4072,3589,3256,2820,2795,2035,3814,2783,3781,4113,4494,5945,5800
5673,4056,5890,6340,2334,5083,5048,5345,4762,4556,4138,3454,2914,2820,2537,2837,2881,2689,2439,2956,1540,4464,2245
5661,7294,5211,7691,6936,5493,4930,5287,5699,5411,5275,5075,5162,5074,4504,4510,4934,5196,6135,5616,4933,7144,3282
3822,5245,-3000,5990,4627,4402,4693,4955,4121,4851,3501,3125,3490,2553,3255,2480,2635,2538,3253,4117,1086,1934,1962
4396,6106,4587,4843,8219,3609,4620,4276,3124,3505,4308,2583,4799,2919,3187,2436,3153,3304,2643,3413,1622,1694,2670
4393,2370,3508,4930,3472,4184,3344,3873,3744,3336,2890,2414,2721,3021,2138,2373,2685,2653,3125,3688,3108,2713,5094
5348,5503,6195,5809,4768,5179,4805,4394,4492,4547,3594,3250,2440,2204,2378,2436,2425,2029,2374,2500,3833,3818,4623
5799,5649,4915,5795,3601,5340,4934,5677,3607,3258,3880,3563,4201,3600,3214,3890,3471,3835,5777,4318,2985,6008,5486
4394,5845,-3000,3570,6564,5315,3516,5582,4614,4465,4865,3503,4747,2869,4024,3376,3408,3154,2891,2929,1685,1689,1505
3271,6346,9277,5231,5731,6661,4422,7190,6983,7225,6862,6255,7665,7184,6306,3591,7171,6374,6284,5543,3757,4118,4712
2755,4896,5723,2986,5871,4808,4950,5481,4690,4217,3965,3371,2660,2580,2255,2279,2097,1959,3014,2914,4042,4365,4966
1710,5216,6676,5597,4669,5562,4825,4948,3918,3194,3581,3162,2904,3314,2085,2324,2971,2561,3793,3249,3400,4704,4848
1253,4926,7197,7866,4535,4366,1635,2412,4849,3494,2021,1469,1258,2420,1230,1496,2239,1984,1412,1662,3701,3441,1862
3344,5881,6871,3452,5032,6063,6844,5077,5266,4824,4814,4632,4729,5192,4306,2048,5313,4827,4168,5589,6418,6617,6641
