"2017-11-01", "2017-11-17", "2017-12-03", "2017-12-19", "2018-01-01", "2018-01-17", "2018-02-02", "2018-02-18", "2018-03-06", "2018-03-22"
1944,1579,2347,5902,5902,9761,9152,6770,5449,1913
1321,1649,3159,4262,9212,9224,9861,6381,4837,1747
3685,5924,5282,8032,5976,4652,2508,1994,1812,1659
3759,6171,8394,8947,7543,4283,2441,2789,2132,3261
1025,2707,5133,8317,8774,8003,2107,1183,1093,1007
5368,6245,7509,7472,4556,4291,806,983,1072,1102
2843,3396,6031,5732,4901,3719,3270,2597,2889,2131
7763,5375,2882,2016,2760,1887,8002,8665,8505,8672
3967,4987,7508,5634,4180,3475,1194,1178,978,1449
8272,5752,6106,6110,3570,2984,2883,5394,8831,7684
1816,5200,4515,9397,9820,8790,6300,1812,985,1123
1292,1165,1215,1057,1593,999,1440,2678,2638,5755
1518,1894,4698,7201,6217,5195,4755,2471,1651,1722
796,1314,2108,1945,1983,1721,5820,8575,8424,8279
911,1352,2831,3543,8253,8936,9268,9154,8751,4561
1465,1471,1958,3532,7197,8142,9614,9516,7382,7246
2375,2683,8248,7046,7961,7778,3042,1986,2428,2221
7789,7315,6041,5116,4673,3646,2055,2116,2336,3195
1305,1322,2870,2365,1455,1084,1267,1132,1836,2679
3723,5299,1937,1509,1445,1582,2642,5091,6426,6582
1805,1632,1625,2006,2553,2682,8243,9911,9564,7944
3070,5164,4910,9835,9747,8808,1607,2047,2070,3574
8509,8244,5592,2209,1518,1666,3559,5361,4634,8430
1182,1478,2808,5480,8770,9117,8774,9144,8654,3898
1470,2276,5566,8256,8747,8303,2393,1884,2555,2533
6910,6168,5265,3173,1667,1325,1712,3905,2677,6051
875,1279,5497,7080,9147,9355,8874,8769,7570,2998
886,1280,1274,3978,4532,4351,2706,3121,3615,6367
1496,2122,1086,1058,1394,3065,4544,5985,3355,2284
1350,1872,1362,2457,4323,5920,8259,6974,6776,6266
1392,1736,2711,3765,8383,8018,6670,7750,6865,4903
8326,7881,6001,2043,1108,1870,4216,4356,7370,8976
1425,1451,1979,4595,7494,8286,7405,8531,6866,6364
2416,3572,9373,9683,9283,8714,3001,1960,1957,2123
1064,2280,6499,8052,6108,5121,3113,2194,1932,1560
1633,1692,2400,2989,5892,6794,8428,9090,8249,4679
1226,1285,3078,3559,7829,8621,9939,9328,8550,5879
1517,1804,4770,7427,9906,9619,7131,5427,3148,1405
1383,4820,5508,7556,5008,4730,2916,2203,2022,2001
6352,6466,5692,4586,2789,1972,1606,2240,2712,4669
6868,6926,8595,9114,6813,2997,1615,2236,1605,4000
7229,7681,2759,1620,1766,1618,4895,6459,4032,7800
6035,8064,8226,8207,8570,8301,2698,3327,2894,1514
1577,2469,4558,7980,9240,9002,5734,1731,2060,2111
8340,7353,2594,2049,1574,1846,4780,6618,6260,8947
921,827,935,877,1353,1132,2861,3469,2721,2911
1368,4462,7602,7301,6517,4983,3964,3660,2492,1805
1823,2104,3193,8417,9507,8925,5443,5922,1737,1968
1385,1797,2408,3428,8146,7517,7767,7361,6822,5031
1870,5623,8539,9283,8663,7007,1469,1864,1894,3219
6916,6897,5634,4546,3491,2446,1709,2107,2280,4455
7061,7872,4732,8970,8079,4231,1604,2377,2100,3221
2485,6009,9916,9835,8549,7152,1385,1896,2951,3481
1869,2264,2992,7269,8779,8439,7966,2356,2424,1921
2130,2879,9509,8735,9555,8903,2281,1802,2630,2348
4445,5107,9174,5824,7362,8229,3364,1718,3261,1563
1247,962,1266,1949,4602,5643,9638,9857,9024,7190
1359,1338,1310,2172,2906,3651,8621,9238,4554,2492
1986,5256,9215,8861,7762,5718,1532,1985,1887,4296
1333,1147,2895,1968,2568,2051,7566,9174,7916,7342
1242,2103,5082,8225,9442,8926,4764,1923,1719,2835
2225,2376,4169,7958,9274,8393,6784,2172,1891,1562
3177,7294,6026,6118,4076,3067,2807,2353,1706,2636
3981,3186,2509,2166,4872,6676,8944,9446,7745,3343
988,1219,1560,1239,1142,1149,5105,8562,6733,6830
2471,7343,7504,8453,8235,6492,1468,1843,2746,3894
3376,7948,9719,8099,8472,5028,1282,1750,1986,3093
1259,1520,3809,4387,9041,9051,5748,5755,4937,2073
2487,4069,7033,7102,5958,4758,2181,2723,3500,1873
6571,6977,4976,4314,3053,2293,1571,2225,2451,4621
7356,8039,5043,2355,1533,1644,3096,5517,4403,7780
9475,6983,3181,1651,1923,1963,4894,7180,7078,8534
1801,6621,5969,9542,9397,8687,1855,1924,2355,4168
2206,2293,6081,7064,8506,8388,6579,2175,2076,1910
2396,3637,6682,9218,9040,7542,1433,2027,3757,3340
7535,5708,4957,4606,2920,1701,2347,3905,5170,8172
2757,3232,5406,8730,8152,6977,1396,1928,2241,3526
2057,2100,6497,7871,8995,8399,2693,1720,2576,3198
3597,6125,5698,9506,9551,8621,1519,1946,2157,3126
1387,2378,6894,9139,9871,9195,6034,1810,1624,926
1930,4547,6852,8388,7612,5506,1533,2107,1996,3576
1106,1273,2744,4797,8723,8982,8420,9898,7928,7336
1704,1550,2583,6859,8803,9175,8069,4296,1970,1914
8294,7151,5439,5774,2393,3265,2446,2235,2468,6031
2001,6487,5174,8109,4911,4112,2355,2237,2008,1976
6034,4380,4061,6107,4804,5761,8100,7047,6412,5679
4409,5488,5458,5522,3865,4571,5337,7508,5809,8134
8707,7225,7173,7639,7196,5665,3259,2207,2220,4347
1493,1909,7560,8588,8290,6895,6457,6486,3669,2542
4020,6518,8982,7519,8773,8342,5823,1925,1808,1310
2618,6670,8253,8847,7131,6403,1555,1769,2668,3550
4252,7314,4823,1649,1671,1593,2004,4347,3456,5535
2953,5260,8612,8982,9284,8576,2065,1684,1682,3504
3193,5790,6792,9553,8308,6845,1331,1660,2491,2562
7715,7236,5576,1785,1602,1837,3922,5561,5827,8799
1283,2058,3678,4685,1709,1535,1741,3912,3991,6306
1019,912,1540,3246,4993,5875,5708,6512,3895,1591
888,2997,7842,7580,7890,6616,4515,2012,1717,1317
2275,2099,6427,8602,9932,9066,6217,2145,868,1861
6014,6490,4198,5657,6098,5205,6312,7069,6156,4988
5133,4383,5350,7195,3329,4556,4825,7877,6944,7085
7245,4960,4224,3295,2336,2284,2106,3268,3533,4163
1975,6688,9933,9870,9840,8744,1445,1975,2221,4422
2775,6309,2757,9438,8131,6896,1549,1149,1100,1407
6538,5276,6883,5902,3294,5287,8459,6628,6547,6303
6904,4614,3431,2394,2038,2472,1997,3488,2871,3641
1945,5321,9303,8932,8661,6930,1265,1773,1749,2972
1294,1245,2083,1626,2363,2175,2904,2330,1784,2177
1458,1516,1855,3085,5645,7225,9953,9039,8122,8286
6251,4555,4659,6584,3312,5003,5114,7825,6025,6300
1594,1799,3436,6984,7322,9484,5183,3779,1488,2082
7647,7700,5426,5734,3649,841,1418,3086,5177,6112
5563,6185,6937,9811,9348,7177,1551,1381,2350,2208
6064,7030,7434,5150,5156,6189,5649,5866,6726,7269
4141,5348,6757,5259,3956,5068,6158,5012,5368,3496
6206,4565,4138,4469,5131,6678,4664,5211,6090,5957
1149,2602,6005,7884,9203,8259,6733,2888,2161,1604
5981,4901,6256,5360,6258,4284,3523,5269,5033,4165
6912,5265,6351,6661,6257,5338,7663,5983,5378,5760
1491,1955,1450,8430,7710,5520,4028,2595,6603,8993
6380,6912,5552,5070,5839,4935,6625,5882,6735,5883
8711,5521,7205,7681,7184,6495,6111,6039,4766,7250
6912,5265,6351,6661,6257,5338,7663,5983,5378,5760
7186,5150,7549,6326,6916,6418,5443,6358,5372,6194
6404,5229,7796,6377,5748,5974,8521,6248,5831,7753
7015,4199,8731,6764,6398,5264,4220,5358,4922,5818
1871,2001,2434,6363,6054,6717,5631,5024,2542,2272
1715,2282,4301,7739,7739,8319,7493,2822,2289,1688
6310,6691,6958,6897,6063,6853,6807,7974,6959,6151
4617,4948,5015,4452,4452,5039,4577,5650,5348,5714
2624,2580,2414,4578,6580,7289,8486,6301,3163,1573
4818,4619,5517,4443,4774,4741,6679,5308,5577,6155
4893,5747,6311,5808,5546,4926,6722,6074,6926,5866
6300,4273,5275,6150,5050,4821,5424,5335,5097,5900
6597,6415,6570,5578,5578,6208,6379,7254,7165,7170
1642,2352,1657,2035,3637,4989,6261,7654,8156,7527
6329,6148,6391,5756,6562,6207,5783,7270,6442,7098
6380,6912,5552,5070,5839,4935,6625,5882,6735,5883
6220,6608,6878,5289,6102,5369,6490,6389,6459,6918
5440,6918,7033,5889,5889,6451,6379,5572,7215,7593
5748,4976,5561,5208,3960,4974,5068,5178,6283,5373
4076,3040,2005,1553,2368,3960,9078,9024,9789,8497
1227,1413,1925,4919,6785,7127,6668,4231,3410,1954
5076,3630,2431,1425,1853,2515,6572,8502,8971,8862
2654,3058,3237,3143,4305,4308,5146,5077,5519,5732
1349,1720,1812,2626,6940,7633,7969,6574,5421,2214
6440,6620,7332,6554,6452,7091,6656,6855,5561,6998
1375,1919,2559,5830,5830,7828,7596,4558,2958,2172
6449,7598,7034,5702,5702,6737,7050,7167,7403,7092
6641,6652,7000,5436,6320,5900,6782,6575,6769,6559
4971,6615,7119,5915,5564,6034,6191,6231,7347,6306
1693,5340,4917,3965,4463,3756,5113,4082,5718,4555
1467,1759,2433,7832,9342,9691,8088,4072,2045,1814
5599,6008,5844,4762,4762,5406,4995,5851,6113,6210
5551,6605,6687,5566,5566,6149,6082,5901,6254,4360
6456,5705,6255,5278,4806,4701,4471,5678,7518,5744
6427,7335,6367,6050,6919,6638,7533,3949,6539,7487
2263,3145,2648,1767,2992,4892,9353,8793,7230,7151
7459,7867,2228,1631,1824,2674,7540,7517,9415,9043
5981,6043,6853,5736,5478,5677,5896,7161,6941,7075
4162,3873,4776,3513,3513,4207,3960,4167,4178,4578
1672,1942,3097,7101,7101,7777,7877,3149,1924,1617
1566,2369,1791,1749,2765,4145,5219,8041,9099,7718
3593,3551,3570,2291,2542,2327,2638,2915,3861,5331
5899,6870,6855,6389,5449,5418,7910,7670,7321,6430
2475,3190,4682,5219,5173,5786,7230,7171,7106,6955
6105,6736,7442,6130,6233,6319,6834,7153,7135,7262
4727,6130,5736,5783,6576,6634,7696,5441,6120,6988
4206,6025,5218,5372,5372,5206,5507,5065,5852,5530
7307,7369,7583,6351,6657,6775,6873,7463,7438,7219
5728,6792,7275,5960,6694,6855,6831,6326,7968,7347
5504,5908,6387,5166,5473,5062,6784,6555,6304,5193
7055,6986,7121,6123,6578,6714,6050,7465,7317,7562
5990,6830,7031,5331,5331,5346,6130,6679,6414,7339
1707,2418,4123,7812,7812,8170,6410,3178,2230,1542
1229,2594,2671,5136,6720,6682,7271,4563,2618,2941
1663,1919,2169,4895,6531,7369,7911,5635,5168,4785
4651,5456,5677,4643,4305,3670,4344,4283,4695,5284
3882,4577,4168,2922,4355,3375,4578,5179,5477,4020
2087,2386,2200,1785,3111,4608,5763,7697,9131,7770
4488,3090,2420,2047,3000,5553,7943,8970,9481,8020
1881,2961,4066,1577,2285,4061,9358,8192,8767,8523
6138,7052,7257,6127,6127,6312,7146,6618,6003,6420
3030,4568,2318,1591,2222,3747,6551,9154,9442,8568
2518,2587,2096,2738,5241,6202,4903,7570,4647,2713
1486,2227,3592,2097,2808,3953,6538,8461,8481,8083
5508,5836,4901,5355,4707,4544,7261,6926,6381,7091
4425,4331,5833,4821,5258,4115,4368,5324,6669,6217
2446,2361,3492,2771,3159,5003,8865,8792,8353,6801
1787,2079,3214,1890,2588,3957,8762,8373,7093,7854
8275,6250,7049,5857,5693,2940,1377,1511,1677,2651
4126,5054,5847,4685,4500,4566,5302,6407,6277,6523
5336,5144,5386,4945,4945,4147,5951,6174,7029,5415
1955,3011,5235,2215,2215,5543,9419,9735,8150,7270
5072,5917,6434,5000,5000,5339,6239,5818,6862,5883
5941,7750,7564,6114,5643,6323,6404,6508,6931,7107
5418,6062,6350,4868,4868,5888,6889,6879,7109,6211
2327,4133,6953,1724,1982,2548,6567,7954,8992,8493
1736,2116,2301,1626,3395,4156,6660,6482,7791,8097
5866,3865,3255,1888,2452,3999,5982,8909,9086,8059
5907,6486,6456,5617,5617,5865,6246,6741,7724,7197
6409,7107,7417,5936,5730,5949,7085,6517,6486,5938
5930,7404,7373,6574,6574,7303,7173,7310,7737,7167
7399,6925,7235,6351,6351,7602,7242,7699,7715,7676
3854,3209,3820,4287,4603,4642,5445,5414,5489,4606
6750,5927,7190,5957,5656,6687,6247,7296,6982,6293
3989,6084,5077,5058,5058,4541,5621,4931,5164,5822
6792,7337,7052,6085,6870,7059,6657,6798,7797,6978
5306,4504,5462,4380,4380,4435,4148,4131,5047,5110
2764,2528,3748,2928,4033,3949,5013,5355,5539,6021
6654,7536,7178,5965,6807,6081,6699,6233,6988,6706
3058,4865,4718,4825,5016,4308,4421,4487,5791,5799
6659,6368,6642,4891,5198,4996,6231,7057,6295,6592
2203,4519,6088,1737,2021,3325,8393,8896,9810,8019
5529,5116,6282,5399,5684,5755,6454,6678,6463,6028
8208,8165,2813,2123,3548,3705,7584,6635,6291,5783
7569,7294,7576,6550,6550,7141,7659,7741,7933,7094
3565,3571,4232,4663,3819,4408,5001,3843,5055,4142
5787,5863,6175,4822,5324,4296,6121,6416,5256,6422
2538,3649,6527,8637,7191,7362,7820,6850,6465,6656
4960,6947,6943,5700,6288,4986,7652,6115,7339,6240
7150,7475,6442,7192,7308,6440,8097,7069,7004,7802
3826,3981,4725,3889,2762,2988,3688,2734,3342,3793
6688,6712,6532,5677,6130,6808,7093,6976,6031,6077
1647,2142,1750,2984,4845,6453,9935,8780,9800,9276
5088,5413,5550,4863,6454,5561,6813,5971,6883,5740
5703,6335,6615,5591,4584,5611,6551,7088,7387,6864
4701,4868,4980,5496,5456,5144,6175,5671,5612,5557
3297,453,1244,2353,4438,5106,8408,7932,8989,9245
5734,5368,5108,4996,4565,4348,5254,6001,6363,5456
4696,4378,4288,4878,5202,6524,5014,5824,5777,5024
1471,1924,2278,4330,5414,6843,6637,3009,1853,2127
5469,5251,5492,4843,5352,5028,5194,6236,5147,5633
4356,5566,5583,5104,5104,5734,5754,6109,6244,6566
5829,7232,7155,6085,6781,6775,6250,7108,6869,5867
2090,1827,2830,1787,2993,4956,6224,8545,9258,7783
6973,6592,6956,5829,5935,6153,6300,6191,6712,6284
5416,6384,6680,5412,6186,4714,7119,5013,5442,6537
3588,5366,4894,5258,4613,4254,5109,5951,3747,2859
4662,7069,7256,6076,6601,6191,7805,6967,6670,7510
5176,5274,5803,5313,4715,4095,7067,6882,6935,5805
