"2017-11-01", "2017-11-17", "2017-12-03", "2017-12-19", "2018-01-01", "2018-01-17", "2018-02-02", "2018-02-18", "2018-03-06", "2018-03-22"
5127,4855,3723,4992,4992,5207,2682,5458,2822,2515
2994,4108,3807,4355,4093,3927,4855,4000,3483,2525
4586,4178,2272,3903,3903,3186,2864,3591,5934,2789
2653,3131,2853,5696,8462,6624,1389,6478,5513,6233
2216,4218,4271,4885,4885,4635,5604,5912,5289,5454
3050,3838,3932,4235,5391,5716,2523,6163,6786,6598
2199,4787,4160,6010,4771,4406,3945,5554,5632,5579
4014,4196,6100,5081,4697,5107,4558,6173,6682,6416
1677,2844,3341,4561,2367,2895,1492,3270,4167,5129
2564,4012,3803,4603,4603,3970,2429,4493,5688,4683
1799,6343,7050,5688,6295,5213,5536,6190,6491,6621
2041,4287,3237,3846,3881,2334,2521,2811,3474,5126
2161,2430,2278,3550,4793,5328,2387,6793,6791,5463
2083,5648,5842,4904,6027,4808,3509,5476,6217,6147
2731,4569,3759,4839,4735,4480,4285,5851,6395,6777
1743,2710,3757,4542,4305,3773,2334,4579,5725,5107
2129,4634,5542,5232,4339,5038,3096,3468,6105,5474
2017,4572,3550,4397,4673,3949,6072,5541,5817,5446
4758,5256,4419,5192,5192,5053,5631,6276,6576,6126
1455,2885,4586,5335,5818,4754,2717,5473,2875,4733
2565,5935,6085,6133,6133,5585,7033,6492,6564,6039
1608,5000,5218,5355,6293,4919,4842,6605,5760,4778
1971,3587,4101,5092,4073,4746,2385,5595,4251,5208
2037,3721,3639,4296,4296,4027,4595,5334,5277,4535
2050,4314,4748,4377,4790,4425,4929,4878,5676,5337
2212,3673,4167,4806,5057,4076,2766,4841,5122,5822
1508,3542,4696,5333,5333,5799,5512,4745,5663,5049
1639,1974,3573,3778,4822,3843,3660,5991,6269,6611
2723,3129,4102,5984,6461,7157,3763,7307,5933,6256
1800,5908,3665,4805,4805,4818,5182,6206,6217,3474
2994,6424,5875,4379,6734,4644,6039,6283,5948,5550
1960,2049,2305,5879,6657,6818,4044,3687,4127,5065
243,3979,5042,4687,4687,4735,4818,4991,3170,5038
2763,3834,3598,6116,5308,4727,2499,5708,5590,5428
1496,4645,3698,3170,3605,2914,4992,5329,5213,5329
1289,3439,4708,4447,4820,4216,3365,5769,4757,4813
2071,5496,5391,4314,6124,4766,4375,4814,5686,5560
1539,2037,3537,3479,5102,3387,915,4713,5858,3426
2820,6260,4323,4843,6731,5786,6447,6437,6262,5443
1829,4623,4598,5231,5219,4224,2359,4846,2707,5067
1394,4919,5010,7087,5737,5557,5810,6705,7105,5623
2247,1703,4662,6241,8601,8904,7718,6404,2532,1717
1520,2974,2099,4490,4490,7975,4540,7252,3528,2466
2003,4103,1399,3599,8018,8499,8293,9770,8332,7605
3939,5052,5076,5845,5845,5675,7168,5807,6628,5331
4278,8514,8769,8310,4399,4109,3719,4165,5293,7913
1598,4537,2307,3927,3927,1803,4585,7731,4425,9617
1430,1651,6233,7831,8074,7833,6730,1899,1842,3511
1380,2597,4254,6611,7131,6275,1582,1614,2555,2823
2262,2813,2937,5246,5460,5023,3241,6695,7475,7070
3256,5799,4973,5409,5409,5039,5694,4742,5607,5296
4152,4081,3022,4418,4803,4592,3844,4397,4311,4360
2618,4448,6323,5376,4470,4806,5558,4200,4931,5170
3064,6127,4658,4434,4509,2409,5287,3690,4160,3430
1298,1894,2258,5818,8852,8882,2980,4675,2009,1491
3448,5146,5446,4960,4558,5228,6508,4521,6257,5866
3050,3838,3932,4235,5391,5716,2523,6163,6786,6598
4934,4239,5965,5745,6289,5595,6337,5762,6475,4991
2381,4806,5607,4980,5159,4986,5860,5615,5661,5004
1934,3892,4369,4424,4424,4082,5388,4445,5379,4302
1540,2154,2415,7836,8804,9425,9640,6847,1671,1567
1639,2029,2371,2690,3603,3827,5477,5039,6655,6952
1671,2787,2732,3803,3045,2767,3011,4815,5408,5158
5312,4985,4942,4623,5471,4992,6145,3808,3823,3778
4163,4746,4818,6638,5375,4114,5429,5429,4919,5952
2672,5177,4576,2760,5613,5069,4632,5929,6508,6175
2406,3376,5561,5048,4989,4771,6174,6612,6299,4634
4278,8514,8769,8310,4399,4109,3719,4165,5293,7913
2247,1703,4662,6241,8601,8904,7718,6404,2532,1717
2618,4448,6323,5376,4470,4806,5558,4200,4931,5170
1890,3857,3102,4137,4177,5108,4524,5575,4032,6036
4875,4930,5380,4764,5613,5284,6023,4765,4521,4677
2774,3951,5372,5670,6508,5168,5958,4709,6742,5080
3319,4232,4644,5383,6283,4992,5800,5167,5000,5210
3880,4567,4868,5137,5715,4977,4596,4522,4897,5374
