"2017-11-01", "2017-11-17", "2017-12-03", "2017-12-19", "2018-01-01", "2018-01-17", "2018-02-02", "2018-02-18", "2018-03-06", "2018-03-22"
1375,2140,3176,7281,8867,9119,7399,2209,2118,1593
1625,3056,3302,6161,5028,6005,5018,2003,1801,1837
2283,1458,2820,3845,6033,8024,7490,7198,2588,1966
2579,3361,3698,5656,4060,4431,1251,3409,3418,3953
2032,1929,3212,5628,8214,7648,6463,1683,2157,2951
3808,678,3318,3888,3921,5145,2229,2566,5359,4407
897,1827,8308,8894,8571,8744,3379,1997,2157,7079
4020,2218,2609,5617,5917,6032,6580,4642,5879,4886
2023,3351,3297,2268,2986,3237,1989,3428,2367,3328
5119,5357,7945,8393,8194,6745,6662,6974,7717,3123
4172,5961,4643,4524,6527,6260,5758,4326,5561,3065
3041,5177,4900,5222,5222,4968,5455,3927,1817,3759
5312,5281,4846,1773,3555,6231,4988,4455,3520,4624
4827,4168,5589,6418,6617,6641,6195,3506,7230,5295
2843,4612,3910,4091,5253,2874,2011,3610,4631,3135
5765,6332,6337,2981,5888,7058,2899,5557,3698,6812
2308,3951,4584,5902,5237,6015,3895,4934,4347,1913
3398,2418,4313,4122,6373,5360,2429,2732,3261,2459
4408,4295,5416,5378,5272,5295,5316,5077,4078,1465
4271,4689,5239,1405,7165,6534,5222,2625,3795,2943
5860,4726,2789,7420,6503,6387,4839,4921,4887,5110
5936,6042,5524,1443,7539,7022,6183,4217,3830,6356
6040,4662,5995,6418,6172,7216,6599,3959,7180,5648
3498,4975,5697,7100,7131,6394,5822,3129,3708,5500
2201,4419,3701,2349,5404,4846,1253,4369,3078,1924
5904,5415,6005,4748,5349,6861,5539,4344,2936,4138
5748,3960,6275,7690,7209,7005,6647,3693,5163,5505
3289,3382,2207,7156,6792,6202,3524,2269,3322,1403
3450,5039,5185,5739,4317,5651,6170,6723,4036,4524
3465,2114,1877,1394,1424,2304,3579,5232,5360,5609
1414,1876,1133,1366,3483,4841,5433,5890,6600,5937
1292,1546,1095,2393,6387,7077,5639,6960,5463,4246
2605,1698,4495,5181,8908,8691,7427,6702,5071,4423
1738,1406,1106,2803,7152,8211,4661,7524,6011,5424
1443,1341,3308,2780,5396,6222,6189,5340,4005,1680
1256,1740,1782,4815,7545,7573,7500,7855,5411,4452
1462,2562,795,2123,6236,6212,5876,5259,6350,5416
1379,1868,1191,1793,5842,7289,7210,5386,7237,6441
2580,3595,6480,6925,7126,7466,4443,2946,3119,2402
3157,2854,3401,2614,7045,6355,5210,5675,3355,2614
2912,1904,4895,4752,4121,3118,3755,4412,5726,5286
1800,1993,3433,5436,6856,7132,6476,4920,2705,2029
1346,1352,4214,3221,6288,6604,5822,4193,4098,1975
1665,1165,5130,5827,6618,8637,7830,7401,2673,1371
1796,1439,982,864,3159,7154,6526,7743,6358,6535
2021,4124,6288,7062,7062,6945,5152,4070,1975,2237
1292,1644,1438,3658,5979,6373,5960,4962,2917,1195
1716,4589,1079,3456,5993,6663,5298,5209,5759,5293
2268,2626,2320,4460,3153,2881,3062,3348,4612,4519
1699,1981,4410,4113,4197,6548,6569,4914,3443,2396
1405,2005,2501,6152,6152,7274,6332,5411,4855,3138
1963,1776,1244,1828,2164,4225,5914,7273,7352,6826
1646,1470,1073,2717,3807,5880,5436,6015,5395,4007
1613,1463,1054,1176,3216,6436,6922,7541,7954,7479
1244,1670,1136,1532,5715,6552,6619,6664,5505,4271
1469,2035,1692,918,4026,5518,4786,5064,7692,6052
1949,2105,967,3788,7193,7469,5913,4323,3518,935
2363,2780,4752,4588,6828,7126,6216,4431,2470,2128
1811,1486,1909,2872,5586,6090,4299,4938,4916,3775
1572,1457,3656,4065,8253,7938,7098,6458,4768,4133
1399,1726,1566,4140,6477,6204,5692,6681,4871,2840
3672,3048,1103,1235,2054,6387,7714,5573,5880,5068
1606,1630,1651,5033,5819,6857,6908,5327,6254,1749
3377,1898,2236,1376,3159,4565,4500,5741,4235,4930
2002,1674,1429,2145,5488,6603,6834,6379,6646,2847
1619,1304,4835,4372,7471,9260,7475,7139,5765,1860
1169,1291,1224,2675,6845,7570,7751,6586,5160,3290
1388,2587,1161,2650,7018,6203,6702,5560,4898,4066
1613,1091,1328,2978,5069,6802,6473,5388,5676,3522
1519,1758,3170,6957,8082,8348,8224,3286,7589,2558
2118,1623,1135,4865,8409,7756,5763,5901,4721,3900
1318,2569,2786,6018,6680,6873,6319,5706,4456,1748
2829,1676,3915,5210,6750,6734,6784,5601,3069,2190
1523,3433,2492,3012,5506,7093,4813,6751,4377,3644
1820,1548,1688,5433,6510,7442,6168,4300,2556,563
1672,2552,1071,2348,6510,6471,4567,5122,6720,4397
1558,1645,1459,2671,2671,5462,5391,5758,4928,5271
1197,888,732,1471,3805,6653,4582,3813,5538,4374
1900,2051,1965,4989,5907,7387,7088,6264,6433,2898
1766,1514,1218,4898,6597,7043,7127,6064,6730,4322
1951,1796,1022,1231,3124,4873,5005,5708,7299,6524
2121,1689,5651,4174,7643,7670,3313,5802,3610,2116
1360,2033,1858,5079,6568,7920,7473,6084,3003,2751
1416,2009,1657,3860,5250,5082,6514,4650,5161,2095
2273,2262,1104,2386,6588,5826,9277,5334,4334,4606
2183,4242,5356,7997,7997,6919,4809,2711,2529,3559
1966,3026,822,2604,5082,4905,5175,5526,2906,2991
1212,1237,1579,1548,5280,6394,7113,6030,5247,2464
2729,2134,1285,1269,2722,5129,4646,4525,5209,4077
1332,1772,1653,3298,5755,6540,2946,5822,4197,1994
1240,1511,736,2779,5412,6037,2453,4728,4574,3352
1792,1673,1281,2535,6494,5468,5445,4729,3921,2802
1214,1959,1322,1042,1626,4939,3312,3229,5643,4210
1890,2011,1572,3907,2666,3487,3846,4570,2323,1444
2870,2327,1408,5757,5757,6794,6721,4974,2996,2699
1856,1928,4434,6457,8899,8178,9468,6682,5131,4511
1593,2835,1250,3287,6629,6450,5603,5554,4023,3250
1806,1499,1303,3736,6858,6785,6435,6223,4782,2104
1616,1533,1485,5324,6423,7694,7022,6232,4027,1866
4058,3286,2642,4541,7764,8410,7606,6986,6293,5415
1777,4571,1158,1481,2670,5618,4982,4614,6395,5626
1483,2688,1879,4893,6909,6121,5395,5372,5619,1101
1943,3684,1120,3096,5948,7119,3791,6812,5074,4399
1452,2071,1347,2850,4287,4971,4418,4580,4833,4070
2789,2506,1412,1367,1468,2934,2568,4341,5142,4728
1524,1411,1241,4730,5963,7660,7098,6595,6919,2023
1529,1250,1665,6057,7407,8107,5490,6969,6744,3798
1861,1799,3255,3230,3583,5539,2195,2713,5795,4876
1311,2217,1277,4018,4906,7408,6617,6314,5502,4143
1269,3274,4328,6498,6866,7288,6344,2098,1645,2463
1817,3254,9020,7922,7848,7275,6270,3135,2242,2870
2384,1786,1280,5047,6908,7010,4625,5684,4729,4401
1880,1739,2229,1421,2069,3369,4521,5331,5178,4677
3182,4636,2969,7374,7646,7814,4051,2016,2132,1598
2509,2776,1483,2172,5869,5225,6392,6953,7022,7600
1975,1624,3124,2461,6514,6205,4949,4670,3110,2176
2144,4844,3816,7000,7000,7010,4955,2227,2418,3051
1626,2524,1177,1030,1385,3342,1854,1985,4048,3847
1537,2033,1359,2083,3889,4952,5021,5275,4344,3246
1858,2260,6613,4989,5794,6753,5475,3468,1988,1336
1329,1682,1234,1420,1953,3963,3560,4965,5908,5759
1804,1325,1267,3392,6730,6558,8700,7467,6139,4428
4226,2347,3776,3534,3580,5735,3407,4447,4843,4242
3466,2577,1869,5844,5844,6616,5925,3917,4347,614
2351,3744,2328,3931,3931,4811,4752,5749,4336,3824
3485,2525,2201,2320,5104,5943,4574,6319,6947,5801
4530,2495,1860,3619,3619,5657,5173,5365,6451,3408
2195,1591,1642,4111,6599,6981,6053,5102,6078,1512
3165,3422,2094,5508,5508,7287,6311,5444,5700,568
1630,1535,1261,4650,4650,7336,5761,5479,6001,1530
2482,5467,4212,6113,6113,3039,3108,2958,3099,2373
1745,1779,1079,1540,5759,7346,6990,5871,4802,4020
2474,2087,1589,1216,1748,3771,2746,6407,6602,7142
1253,1420,2767,6699,7683,8182,7846,6245,4453,2760
2103,1830,1281,3928,6805,5770,5355,5762,5005,4037
3170,3113,2407,2436,2214,4079,2882,4224,5849,5047
2656,2775,1118,2894,6834,6453,4912,5413,4018,3440
1889,1958,3020,4208,6078,6020,6664,6316,4754,5207
1513,2362,872,1406,2993,4037,3304,3136,3462,2684
1751,1546,864,3761,6880,6440,7468,6277,5521,4512
1385,1724,1781,1903,5332,6759,6796,6566,6194,4865
1735,1402,1394,1279,4790,6346,5645,5268,4218,2838
1712,2210,1420,2727,5425,6083,7260,6647,6161,6875
3771,3311,2737,4131,2886,3074,5193,6620,5690,7426
2423,2644,1872,1437,4559,4539,6179,5692,5746,5151
1547,1390,1463,5511,6580,7931,6903,6258,6722,3775
1501,1660,822,3524,6455,6971,6741,5477,5302,3879
1788,1359,1819,3482,4689,5778,4709,5624,5322,2770
1924,2290,1914,3082,4926,6103,6389,6544,6749,6889
3473,1930,1627,1451,2851,4296,7311,7119,6669,6507
2279,2592,2329,3058,4226,7349,5703,7115,6297,6488
2017,2006,1594,2058,3171,4638,4864,4087,2444,1671
2859,1927,1030,1351,4533,6577,5399,5362,4797,3714
1682,2406,1510,2829,5534,6128,7690,6341,4346,5285
2145,2685,3440,7044,7447,7590,5161,5894,6650,2756
3758,4372,3475,2850,4170,6748,7028,6869,5634,6562
1438,1262,3725,4710,5025,6197,7157,3234,3541,2134
1942,1413,1087,2137,6450,7020,7884,7910,6920,5474
1313,1874,1426,1232,5351,7238,7511,7103,6470,6619
1958,1678,1118,3416,6346,6487,7043,5357,4184,1307
1142,2780,4021,6070,6070,6406,5470,3658,4206,985
1385,1839,1366,2861,6415,7423,5606,5481,5679,4896
1524,1729,2776,5299,5922,6944,4723,6946,2454,2544
2723,2569,1728,3841,4216,5672,4489,4508,1988,266
2071,1761,3702,1602,2440,4132,4687,5691,5635,5734
1335,2093,1619,2904,4527,6143,6844,6209,6674,5941
1804,1333,1258,2848,5445,3644,3433,2985,2147,1882
1889,1948,4517,7713,7713,8747,6773,2700,6872,2364
1476,1740,941,4203,5558,7915,6284,6253,5911,4750
2221,1617,1788,2498,5896,7317,6878,6607,6138,4054
2016,2667,2416,3002,4287,5026,3138,5414,4554,4209
1758,2272,2524,1985,3487,5677,8178,7462,6698,6784
2610,1701,1439,2535,6624,7247,6575,5736,5356,4235
