"2017-02-02","2017-02-18","2017-03-06","2017-03-22","2017-04-07","2017-04-23","2017-05-09","2017-05-25","2017-06-10","2017-06-26","2017-07-12","2017-07-28","2017-08-13","2017-08-29","2017-09-14","2017-09-30","2017-10-16","2017-11-01","2017-11-17","2017-12-03","2017-12-19","2018-01-01","2018-01-17"
3061,3491,3821,3605,3661,2058,1966,2504,3296,1590,1102,1549,1254,2087,2535,2150,1357,2822,2125,2623,2638,3811,3074
4110,4009,4393,4667,3145,2451,2177,2662,2657,2208,1983,1734,1726,1754,1860,1714,1678,2605,3023,4385,3352,3098,2959
4003,2682,2521,4007,4505,3561,2598,2092,2144,2058,1892,1847,1804,1885,1664,1646,1746,4322,6352,6118,6292,3932,3229
6475,7103,8549,5694,1941,1860,1578,3117,5239,6964,7170,6887,6435,3666,3628,2558,1813,1414,1090,1373,1157,2067,1017
8237,5428,3160,1360,1491,1693,1620,3608,6184,7943,7163,5634,6709,5495,4043,2456,1918,1310,1449,2599,2866,2276,1164
9178,7480,4909,1601,1817,1906,1752,4664,6662,8028,6085,7279,6949,5003,3437,2410,1724,1666,1446,2531,2835,5558,6796
7166,7141,5945,6972,4788,3270,3753,2405,1687,2026,2517,2767,3492,3466,5752,5729,2720,1967,2181,5548,1940,1940,2028
3481,2715,3478,6238,4742,4563,2326,1849,1779,1810,1997,2493,3895,4791,3345,3116,2298,2575,4258,4066,4780,3359,3672
4415,5441,5150,5964,4298,2995,3524,2586,2860,2561,2032,2402,2214,2457,2506,2256,2175,3635,6658,5607,5121,4920,5630
4515,4179,4254,5051,4061,3526,2349,2471,2460,1954,2229,2671,2111,2591,2309,3028,3527,4026,4214,5103,4229,3507,4286
2342,1335,1570,2371,1966,2755,2514,2648,2807,3123,2111,2724,2375,2463,1667,1736,1507,1739,2031,3203,3214,2636,2803
4298,4234,3939,4177,3723,2701,1850,1742,1785,1621,2461,5237,3978,3392,2312,1996,1587,4807,4602,5494,5593,4970,5089
3201,3722,3364,3225,3790,4140,4555,3930,3836,3280,2684,2501,1954,1749,1860,1711,1583,2738,3222,3083,3126,3382,2900
6424,1683,1892,3126,6231,4384,5239,4887,5189,7029,6445,4639,4861,7440,6304,3075,4885,3510,1551,5566,2136,5076,6028
2331,2393,2536,3149,3361,2612,2681,4639,1779,2477,3074,2195,3418,2286,2070,2071,2382,1954,2285,2396,3282,2416,2849
3732,5527,1312,2616,2435,2810,3517,5381,3828,2276,2251,1758,1065,639,926,1992,2759,2783,2544,2802,3215,3619,2353
4489,4083,2766,2859,3653,4071,3978,3297,3269,1670,3176,3076,2514,2852,2911,2121,3310,3343,3192,2845,2752,2752,3030
2711,2066,4705,3017,3774,2346,2205,2757,2337,2177,3749,3241,2698,2106,3604,3375,3460,3604,4693,2955,2218,2218,2288
2912,1644,3226,3020,3641,3690,2822,2741,2301,2222,2952,3920,2740,4370,5369,4760,3850,7604,3801,3658,3221,3221,2995
1631,1208,1105,1713,1343,1212,1320,1142,1109,1077,1063,1115,1061,1067,988,998,960,1102,1365,1988,1624,1337,1331
8916,8089,2613,1572,1852,1666,5462,7611,7367,7342,6218,4962,4147,2350,2039,1488,1619,5271,6976,9082,8866,8408,8481
6737,6913,5516,1796,1984,3471,4345,3483,4393,3051,2250,2075,1903,1951,1673,1790,1409,1951,1218,2618,3163,5270,7017
9351,9315,6837,1938,1674,2000,2766,4237,4413,3367,2231,1916,1788,1684,1739,1683,1745,919,1385,5947,6038,9828,9043
9207,9249,7576,1528,1518,2242,4821,4314,5739,2984,2884,2313,2075,1646,1794,1774,1618,2466,1461,3312,7158,8060,8767
6214,1204,1301,2570,6405,7601,4904,5299,4270,3244,1379,1745,3348,4175,4746,4926,1691,1789,1753,6441,6877,7535,7923
8621,8358,2266,1516,2991,6548,6925,5665,5649,5198,2530,1560,1581,2725,2979,3585,3147,1682,2335,3916,7759,9703,9023
8863,7637,2534,1423,1480,4674,7253,6615,5514,5229,4630,2331,1280,1104,1461,1719,2055,5432,2353,1952,1753,4035,5833
1328,1478,3072,5846,6901,5911,3900,2535,1959,1336,1367,1548,1716,2218,2754,3174,3800,3310,2132,2078,2693,4945,5863
6580,6819,5628,1739,1243,1443,1619,2172,1748,2002,4904,7274,8652,8730,7275,2601,2067,3763,6832,9961,8440,6025,5787
5523,5194,3771,1571,1742,3281,8370,8184,8582,7972,1443,1986,3314,5253,6835,6412,2175,1493,1909,7560,8588,8290,6895
6481,6554,5663,3676,1338,1673,2145,1723,1843,3279,7232,7810,8456,5181,2834,1460,1773,5560,7234,3863,6462,6201,5637
5997,6215,5055,3546,2109,2371,2813,1717,1799,2705,4266,4892,4820,4249,2534,1853,1617,4061,6355,8146,8114,9569,8702
8700,9184,7174,1935,1907,2077,3570,4013,4646,3289,2513,2248,2003,1781,1950,1756,1537,1731,1210,1362,2755,6845,7151
6071,6530,5299,3615,1872,1959,2332,2026,2417,3366,6485,6928,7212,2918,1457,1469,2688,8390,8001,3758,7181,6067,5557
2598,3471,4782,8053,8396,6673,1576,1758,1841,1990,1570,1818,4377,6076,6822,7566,6049,5158,3475,3625,2848,2541,2648
4788,3571,2581,2134,1733,2066,3010,3429,4824,3921,1731,1510,1663,1616,1610,1504,1455,2048,4051,4559,2126,3683,3886
1691,1724,2627,5190,7704,8274,4585,1943,1712,1577,1316,1597,3483,6520,7781,8028,7700,4918,2793,2007,2175,2183,2829
3049,3092,3058,2963,2738,2868,1251,1325,1317,1155,1019,1107,1041,1092,1323,1080,1114,1374,1212,1754,1479,1748,1556
2636,2658,2578,2683,2227,1524,1752,1635,1484,1527,1479,1499,1748,1572,1694,1429,1681,1420,1321,1770,2003,1735,1749
