"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
5201,5767,5428,6421,5550,4621,6758,6908,7352,6814
4647,5617,5328,5414,5325,4654,6334,6247,6539,6283
4831,6232,5639,5992,5926,4654,6341,6394,6958,6657
5446,6232,5639,5780,5926,4816,6341,6511,6950,6657
5446,6232,5639,5780,5926,4816,6341,6511,6950,6657
4932,5840,5456,5251,5371,4816,5927,6071,6917,6585
5450,6037,5456,5629,4978,4352,6161,6633,7250,6536
5450,6037,5456,5629,4978,4352,6161,6633,7250,6536
4584,5417,5456,5629,5624,4711,6638,6881,7154,6837
4678,5417,5086,5557,4823,4181,6332,6780,7251,6603
4678,5219,5086,5046,5146,4471,6680,6656,6858,6535
4678,5219,5086,5046,5146,4471,6680,6656,6858,6535
4676,4390,4811,4284,4409,4050,6248,6656,6551,5758
4676,4390,4811,4284,4409,4050,6248,6656,6551,5758
5371,6246,5395,6077,5657,4573,6434,6599,6944,6872
5371,6246,5395,6077,5657,4573,6434,6599,6944,6872
3647,4111,5395,6265,4930,4005,6483,6479,6829,6413
4638,5449,5428,5463,5732,4533,6176,6389,7144,6866
4638,5449,5428,5463,5732,4533,6176,6389,7144,6866
5201,5767,5428,6421,5550,4621,6758,6908,7352,6814
4808,5049,6460,6741,5688,4390,6008,6456,7400,7870
2864,6206,7196,7454,6533,5528,6008,7444,8373,8104
2864,6206,7196,7454,6533,5528,6008,7444,8373,8104
4595,5282,6032,6087,5608,4718,6713,6910,6842,7597
4595,5282,6032,6087,5608,4718,6713,6910,6842,7597
4595,5282,6337,5799,5282,4187,6299,6910,7377,7660
4595,5282,6337,5799,5282,4187,6299,6910,7377,7660
5791,5635,6337,6254,5409,4656,6212,6987,7377,7660
5261,5462,6193,5863,5528,3712,6209,6498,7351,7233
4810,4294,5631,4972,4305,3506,5204,6087,6377,6279
5385,5632,5381,5008,4379,3572,5661,6087,7095,6574
5385,5632,5381,5008,4379,3572,5661,6087,7095,6574
5385,4845,5381,4814,4814,3547,5445,6198,7023,6574
4510,5063,5845,4985,4693,3613,5689,6311,7118,7139
4530,4509,5845,5931,5130,3613,5813,6404,6090,7139
4056,4757,5845,6499,5209,4034,6051,6579,8033,7308
4056,4757,5845,6499,5209,4034,6051,6579,8033,7308
