"2017-11-01","2017-11-17","2017-12-03","2017-12-19","2018-01-01","2018-01-17","2018-02-02","2018-02-18","2018-03-06","2018-03-22"
7453,6813,6847,7662,7662,6439,8490,6946,9142,8592
7251,6843,7120,7286,7286,7266,8001,6268,7577,8450
7073,6843,7235,6508,6508,7328,8279,7686,7323,8485
7163,7011,6977,7213,7213,7052,8130,8801,6533,8514
6787,6534,6746,6594,6594,7493,8272,8724,3291,8490
7840,7913,7332,8196,8196,7831,8990,8610,8313,8710
8000,8090,7315,8317,8317,7985,9090,8776,8466,8471
7658,7039,7026,7418,7780,7325,7688,8530,8141,8229
7603,7861,6905,8640,7743,7512,7779,8788,8113,8495
6971,8114,6523,8647,7728,7449,7777,8770,8035,8117
6454,6823,6833,6556,6556,6801,4863,3445,8981,6546
6997,7254,7208,7766,7766,7877,7916,4943,6334,8559
7210,7013,6920,7569,7569,7757,6266,4943,6797,8559
6933,6415,6580,6641,6641,6921,7264,3089,4332,8687
6933,6249,6571,6757,6757,6792,7221,3089,1544,8680
6971,6646,6701,2837,6587,7232,7237,8785,8553,8177
6675,6484,6701,5769,5662,7796,2577,9169,8688,8456
6767,6682,7079,6540,6540,7341,8509,2614,8606,7624
7032,6689,7273,7038,7038,7467,8781,2514,8351,7624
7156,6911,7104,1912,6629,7900,3211,8622,8685,5204
6728,6443,6583,4001,7847,7216,6710,6899,7189,6975
6566,7132,7251,7459,7459,4794,6568,8086,7529,7438
7612,7494,7207,7883,7883,7657,1424,7278,7895,6400
7593,7243,7379,6829,6829,8252,3076,8105,7805,9048
7176,6594,7189,6508,6508,8407,7331,7578,8456,8798
6494,6480,6463,2138,6189,7744,7813,7017,8192,6193
6909,6789,6764,1739,2251,7801,4262,6727,8795,8146
6946,6821,6876,3424,3424,7449,7662,7219,8736,6871
6877,7003,6965,7686,6426,7690,7724,2418,8341,8066
6624,6230,6555,1703,7362,7326,5515,8022,9064,7525
4684,5162,5825,5381,4290,5635,4711,6181,5596,8155
5052,4223,4880,3720,2807,4085,5793,5514,6156,6307
5187,4254,4588,3501,4210,4259,5339,5514,6156,6307
4479,4185,4821,4218,3827,4727,5591,5414,5741,5857
5249,4688,5061,3906,4984,6032,5647,5579,4291,7818
6720,6927,6318,7440,7440,7573,3444,8058,3550,4345
5324,5784,5767,6319,6319,6404,3732,7100,5287,6766
5974,5826,6302,6180,6180,6631,6715,7615,7525,7866
5962,6790,6432,6373,6373,7323,3695,7120,6899,7554
4994,4144,4730,5167,5167,4974,4111,2718,4477,2685
6004,6410,6232,7455,7877,7811,1306,7246,8636,5945
5931,6029,6232,7226,7600,7831,3016,7904,7992,7163
6077,5781,6340,6881,7510,8091,4319,7608,9148,8566
6677,6766,7001,7455,8087,8469,1861,8002,9328,8865
7309,7345,7446,7665,8090,8634,1529,8592,4911,8934
7091,6732,6952,3753,5725,7332,8382,3491,6343,8341
6923,6808,6990,2064,4740,7142,8180,5816,6185,7264
6879,6843,6990,3980,4740,6607,8114,7152,6627,5747
6954,6724,6605,2107,7114,7537,7687,4676,5787,7612
7170,6913,6931,6775,4399,7656,8196,7306,5222,7909
7759,7908,7650,8117,8117,7836,6616,8236,7214,6170
6736,7033,7434,6134,6134,7137,1675,7822,5769,7991
7719,7663,6871,7606,7606,7926,6132,8410,7808,8163
7247,7291,6581,7386,7386,6469,5544,8005,7499,7623
7460,7523,7579,7825,7825,7936,5459,7877,7617,5215
6907,6454,7056,7332,2898,7044,9326,6579,6861,8155
5875,6715,5948,3116,1734,6932,9231,8289,7527,4160
6479,5934,6397,4092,3361,7718,2065,6037,7527,4557
7386,7364,7396,7619,5582,7955,3481,8999,8004,5310
6894,7565,7396,7619,5582,7283,3481,8192,8465,6018
7111,7639,7092,8412,8412,7780,4027,7621,6963,8842
6503,7000,6750,2842,1780,7600,4084,3901,8313,8655
6764,7500,6936,3681,2898,7972,9178,8642,7709,8888
6879,7323,7129,7556,5449,7812,5489,8021,3657,8639
7375,6581,7092,7635,7635,7898,5134,5226,6963,8394
7334,6767,6903,6788,6788,6436,7945,7307,6773,8441
7226,7528,7264,7302,7302,7309,8618,7721,8980,8470
6979,6947,7078,7203,7203,6600,8321,8815,5039,8320
6733,6460,6634,6150,6377,7482,8195,8818,6870,8405
7027,6783,6838,6613,7976,7832,8554,7241,8489,8924
7020,7080,7171,7652,8310,8553,5670,8521,8632,8548
6674,6612,6823,7276,8136,8202,7597,8068,7566,8571
6921,6737,6731,7509,7614,8434,9801,6882,3272,8345
6845,6710,6482,7165,7932,7970,4391,7747,7154,5904
7222,7081,7274,7043,8176,8631,5998,8071,7764,7496
5987,5871,6406,2261,6682,6617,5670,6563,4058,8298
6151,6327,6098,6602,7565,7269,4508,8372,1361,8369
6482,6546,6584,6602,8055,7314,4616,8372,1178,8300
6848,6833,6916,3087,8272,7970,4743,8451,7461,8687
6492,6518,6626,2762,8235,7796,5018,8451,7716,8623
6436,6252,6738,7388,5858,7652,4605,7846,8626,8483
6672,6417,6591,3032,6649,7425,5923,7012,8280,4761
6962,6511,6461,7686,7686,7791,7487,3123,8427,5411
6625,6745,5953,7257,7257,7719,4978,6841,6121,7547
6816,6875,7340,5209,7400,7287,5916,1736,8281,7616
6769,6633,6981,7788,8145,8491,2865,8815,8608,8264
6667,6566,6694,6722,7813,6615,8773,7847,8210,7717
6818,6934,7003,6071,4888,7745,2900,9386,8845,8401
7070,6787,7003,1606,4394,7624,2611,6416,9279,8496
6774,6452,6872,7310,6382,8212,8843,6042,8668,8419
6749,6321,6003,4036,5124,7090,3384,8555,7752,8706
5554,5953,6282,5453,7614,6798,5528,8124,8456,7869
6527,5953,6348,5728,7666,6948,5264,7260,8109,8706
6581,6249,6516,3894,7666,7458,3400,8530,8109,8706
6824,6391,6431,1630,7819,7590,4021,8465,8258,8804
6227,6410,6706,7510,6367,7282,4060,7362,8348,7967
6771,6212,6469,6765,6479,7560,4538,7772,4031,8315
6771,7056,7314,7259,6479,7928,6713,7834,8595,8293
6663,6569,7007,6513,5366,7388,6082,7494,7802,8203
6200,6569,7007,2982,6363,7225,5113,9032,4427,7697
6304,6458,6677,1492,7962,7679,5255,7568,1130,8260
5776,5730,6677,3507,7330,7178,4372,8432,7707,8405
6426,6321,6951,5235,5721,8152,4911,8299,8917,8498
6103,6240,6909,5217,8098,7873,8140,8686,2282,8452
6999,7016,7166,1531,6302,7922,8336,8477,1730,8377
7123,7101,7159,4489,5932,7589,7468,7234,4053,8541
7103,7076,6958,5947,6584,7640,7170,3534,4281,8234
7103,7076,7011,5370,6240,7562,6130,3534,6617,8098
7340,7162,7389,3371,6272,6969,5373,7620,8974,8530
6590,6712,7017,3699,6129,7369,6951,7051,9090,8442
6444,6215,6142,6866,7378,7377,2520,8091,5094,8372
6637,6800,6858,7595,7981,8320,2511,7683,9071,8063
6314,5969,6481,7242,7614,8172,3726,8271,5265,7995
6365,6422,6300,6038,7585,7315,5248,7930,5265,8354
6263,5555,6142,7136,7695,8154,3794,7904,1875,6916
7329,7594,7110,7441,7964,8469,3512,6995,1834,7744
7626,7695,7687,7417,8116,8405,6335,8595,8596,8806
7142,7289,7428,7901,8051,8218,2761,8255,8613,8470
5474,7351,7273,6984,7708,7830,2650,8255,8480,8004
6498,6861,6738,7589,7371,7859,3290,7836,1834,8243
7578,7720,7412,8054,8056,8033,6677,7980,3476,2503
7627,8001,7192,8204,8204,7844,7124,8092,7276,4529
8071,8170,7679,8105,8105,8256,7342,8499,4462,4209
8053,8003,7541,8217,8217,8053,7262,8582,7202,3870
7209,7451,7412,7677,7727,8089,5090,7898,5922,3049
6473,5928,6456,1070,5960,7047,6389,7443,7926,6164
7168,7199,7378,3927,8165,6992,6680,7416,6470,7998
7057,6311,6920,3426,3426,7456,4602,7617,7686,8027
6328,6311,6566,5678,7804,7456,5354,6610,7500,8327
6284,5937,6382,1070,7139,7220,6192,6211,7926,4837
6062,6237,6069,6087,7596,8360,3512,6679,7476,8159
6176,6416,6613,6275,7902,8087,6470,8131,7990,8169
6262,6209,6613,6359,7902,8400,6470,8092,7900,8617
6345,6011,6480,6132,7696,8275,4378,7158,7065,7868
6566,6247,6321,6488,7827,8442,4456,7158,7362,8505
6907,6961,7061,2391,5338,7359,8731,3594,4233,8509
6794,6697,6637,1661,5963,6827,7935,5207,8100,8350
6661,6275,6314,1899,4729,6384,7142,5811,8230,8333
7099,6436,6814,3560,5110,6788,7309,6611,4140,8562
6769,6544,6543,4911,5819,7946,7201,7673,7920,8251
6895,6401,6264,5086,7513,6523,7631,5981,6086,7058
7239,6515,6803,1510,6771,8321,7630,7505,4310,6482
7062,6727,5799,2404,6520,5628,6484,7430,5725,9236
6618,6451,6251,2639,7035,6620,7830,7199,4530,6973
6600,6556,6491,2524,6476,7520,7342,2233,2510,8312
6392,6546,6955,3034,3676,7198,7638,7065,8074,8707
5870,6096,5847,3346,3676,5931,4817,8725,7688,8470
6356,6520,5785,4487,4461,6747,7678,8066,7814,9356
6608,6751,7080,4260,3913,7879,7858,7368,8564,5348
6836,6780,6955,4260,3911,7811,7858,7805,8490,5348
6727,6629,6636,4856,8365,7870,7139,8368,8887,9897
6597,6541,6326,3743,6837,8131,7195,7723,8882,9434
6597,6541,6326,3743,4370,7363,7086,8090,8595,9336
5701,5616,6344,6554,7276,7341,3792,7668,8490,4659
5834,6142,6344,2790,7633,7232,6715,8032,7762,8908
6103,5431,5976,5471,1788,6361,6340,3840,6562,7547
7165,7541,6156,5424,5424,7107,4507,5855,7597,8926
7527,7736,7000,5772,5772,7600,4843,5855,7597,8926
6473,6316,6029,6505,4977,7070,6718,7468,6793,8138
6006,6100,5959,6258,5792,7057,7674,7190,6614,7808
6156,6090,6911,8498,7668,6892,3854,7453,7738,8398
6359,6412,7068,7603,6007,7467,4602,7849,8554,7968
6707,6896,7152,7029,4173,7865,6928,4386,8566,7968
6496,6698,7171,4903,4550,7302,7132,7621,8067,8398
6519,6698,6911,7957,6779,7352,5969,7347,8015,8398
6481,6098,6609,6401,6401,6586,8286,6590,6308,5540
6490,6212,6696,6087,6087,7162,8196,7540,7673,5540
6666,6210,6609,6087,6087,7926,7991,4776,7046,6764
6839,6718,6914,7227,7227,8431,8535,8772,6526,8500
6894,7123,6910,7227,7227,7780,8245,6954,6543,8650
5908,5894,6407,6619,6619,6423,5168,6642,7036,6514
6755,7018,7156,7383,7383,6901,2323,7349,6760,6877
6574,7040,6852,7101,7101,7354,4184,7385,5634,8009
6381,6514,6900,6785,6785,7528,4996,7717,4019,7746
6757,5568,6147,6527,6527,6458,4376,7305,6051,6647
6020,5807,6181,6948,7523,7666,3133,7589,4856,7635
5474,4928,5732,5613,6918,7335,1858,8142,7374,7745
5703,6234,6299,6790,7631,7893,1858,5346,6179,8245
5590,6234,6158,6803,7285,7580,3133,7494,6914,7580
5064,5004,5707,6276,6986,7376,3479,7985,3062,7325
7180,7072,7167,8205,8205,7650,5647,4655,7707,6941
7061,6799,7050,8066,8066,7885,5537,8695,7980,8283
6531,6380,6609,6671,5222,7570,5764,4826,8827,8465
7323,7273,6782,5085,7178,7980,6241,5653,8449,8719
6890,6556,7098,3724,6808,7967,5483,7235,8470,7978
5730,5909,6178,6495,8003,6208,5636,7074,7349,4293
6437,5926,6318,7357,7019,3982,6506,4059,7354,7522
6624,6230,6555,1703,7362,7326,5515,8022,9064,7525
6643,6744,6725,2987,3742,7383,4570,7714,7910,5891
7058,6648,6604,4153,4416,8044,7544,6817,8022,4263
7924,7495,4571,7786,7786,7211,7730,6592,4506,7923
5699,5175,5271,5171,5171,5484,7303,5881,6199,6485
5445,6419,6981,6555,6555,5500,7303,6807,7274,7294
7202,6444,5975,6986,6986,6833,7730,7523,7534,4979
8162,7578,7281,8063,8063,7851,7730,8127,8141,6453
6292,6890,6601,1619,7465,8398,5307,8434,8401,8265
6368,5344,5920,5099,5099,7031,9433,8059,7862,8369
5880,6182,6753,2763,3514,5485,4606,8066,8030,8462
6607,6384,6685,5534,5384,7336,7095,8524,8357,8278
6292,6338,6601,7441,7441,6614,4986,8213,8557,8509
6122,5886,6221,717,7903,7077,3061,7893,7747,8504
5959,6492,6740,7715,5945,6956,2320,7641,7822,8811
6376,6219,6523,4315,5546,7501,4932,2277,7369,8827
6386,6646,6547,3720,7222,5038,4580,2392,7568,8395
6832,6646,6711,2651,7222,7054,3568,7493,7747,8740
7040,7196,7077,4155,7285,7553,6524,7153,8452,7596
7091,6800,7261,5209,7450,7188,6317,1886,8186,6059
6789,6627,6957,1499,6853,7044,6212,5552,7469,7645
6531,6613,7195,1572,6853,7243,6209,6561,7529,8143
6530,6265,6738,5284,3549,6799,8368,6793,7463,8042
7189,7385,6990,6086,8151,8027,6762,5549,7615,7819
6819,7011,7330,2871,7246,8016,5863,6641,9209,8255
7063,7047,7355,4323,6462,7988,4714,9745,9776,8700
7187,7055,7355,5332,5818,7019,7727,7947,8493,8772
7203,7123,7250,1288,8160,8012,7093,8792,8719,8579
6523,6514,6613,3800,7991,8033,2490,6710,3516,7847
6146,6251,6369,1573,7783,7760,4954,7363,7842,8462
